char01,char02,char03,char04,char05,char06,char07,char08,Valid
s,k,i,v,v,y, , ,valid
f,i,e,n,d,s, , ,valid
k,n,o,l,l,s, , ,valid
p,o,t,t,i,e,s,t,valid
s,a,k,v,k,f,t, ,invalid
s,b,r,q, , , , ,invalid
g,g,b,e,p, , , ,invalid
h,b,w,u,x,e, , ,invalid
e,n,s,u,e, , , ,valid
u,n,b,e,n, , , ,invalid
c,u,m,q,u,a,t, ,valid
t,k,h,p, , , , ,invalid
w,g,e, , , , , ,invalid
y,u,k,g,s, , , ,invalid
b,e,f,v,a,u, , ,invalid
d,s,p,r,a, , , ,invalid
h,d,w, , , , , ,invalid
l,a,x, , , , , ,valid
k,f,m,h,h, , , ,invalid
g,s,v,i,m,h,b, ,invalid
g,o,r,i,e,r, , ,valid
u,w,o,w,s,a,g, ,invalid
m,e,s,a,s, , , ,valid
y,f,i,g,m,o, , ,invalid
t,v,r,l, , , , ,invalid
s,m,s,g,m,w, , ,invalid
p,e,b,b,l,e, , ,valid
b,r,w,e,p, , , ,invalid
s,t,o,o,p, , , ,valid
w,h,i,m,s,e,y, ,valid
f,y,c,s,l, , , ,invalid
q,y,h, , , , , ,invalid
i,n,g,e,s,t,s, ,valid
g,a,u,n,t,e,r, ,valid
x,e,b,x,y,w, , ,invalid
s,p,r,a,w,l,e,d,valid
q,w,u, , , , , ,invalid
c,d,y,a,w,j, , ,invalid
b,m,o,g, , , , ,invalid
e,k,n,v,f, , , ,invalid
b,m,w,r,m,p,u, ,invalid
i,b,e,e,q,y,g, ,invalid
u,r,g,i,d, , , ,invalid
e,l,y,s, , , , ,invalid
s,i,g,n,i,n,g,s,valid
u,n,t,i,e,s, , ,valid
c,v,a,x,k,v, , ,invalid
r,e,m,o,t,e,r, ,valid
r,v,k,f,r, , , ,invalid
x,o,c,j,x, , , ,invalid
r,c,u,p,a,q,u, ,invalid
o,r,v,n, , , , ,invalid
n,h,l,v,l,i, , ,invalid
d,i,p,l,o,m,a, ,valid
j,s,g,j, , , , ,invalid
s,u,k,n,x,x, , ,invalid
l,u,k, , , , , ,invalid
m,j,q,w,t, , , ,invalid
f,b,v, , , , , ,invalid
f,o,g, , , , , ,invalid
n,i,r, , , , , ,invalid
u,t,e,r,i,n,e, ,valid
u,n,w,e,d, , , ,valid
m,s,r,r,h, , , ,invalid
i,y,y, , , , , ,invalid
u,h,e,c, , , , ,invalid
t,r,u,c,e, , , ,valid
g,o,d,s,e,n,d,s,valid
w,v,i,b,l,g,u, ,invalid
h,g,b, , , , , ,invalid
s,c,a,d, , , , ,valid
l,a,d,y,b,u,g,s,valid
p,q,a,t,j, , , ,invalid
s,g,d,b,p, , , ,invalid
v,k,i,g,y,v, , ,invalid
e,r,n, , , , , ,invalid
m,h,s, , , , , ,invalid
b,s,e,h,g, , , ,invalid
p,l,o,w,e,d, , ,valid
t,m,j,v, , , , ,invalid
f,m,v,i, , , , ,invalid
w,w,v,i,k,r, , ,invalid
t,s,s,k,i,f,i, ,invalid
i,m,p,u,l,s,e,s,valid
p,g,d,e,a,i,r, ,invalid
c,u,l,p,r,i,t, ,valid
s,p,e,c,i,e, , ,valid
m,v,j,o,b,q,x, ,invalid
f,o,r,w,e,n,t, ,valid
s,l,e,a,z,i,l,y,valid
o,r,o,k,l,e,l, ,invalid
s,i,i, , , , , ,invalid
s,t,i,e,s, , , ,valid
k,o,v,v,g,k, , ,invalid
h,t,j,c,r,e,l, ,invalid
r,b,t,r,n, , , ,invalid
h,n,t,w,y, , , ,invalid
o,w,r,u,w,j, , ,invalid
v,w,o,i,k,f,f, ,invalid
h,c,t,j, , , , ,invalid
a,m,o,r,o,u,s, ,valid
m,w,t,x,k,v, , ,invalid
a,g,t,e, , , , ,invalid
v,r,c,f, , , , ,invalid
s,p,e,c,k,e,d, ,valid
b,r,a,w,n,y, , ,valid
p,a,i, , , , , ,invalid
h,o,u,s,e,d, , ,valid
p,b,p,d,j,g, , ,invalid
y,t,m,r,n,k,j, ,invalid
w,y,n,a, , , , ,invalid
j,v,m,r,a, , , ,invalid
s,w,a,n,k,e,r, ,valid
m,u,s,i,c,a,l,s,valid
t,o,m,o,r,r,o,w,valid
f,l,u,x, , , , ,valid
l,a,s, , , , , ,invalid
c,d,n, , , , , ,invalid
c,o,n,t,i,n,u,e,valid
d,t,n,q,h, , , ,invalid
s,e,f,m,h, , , ,invalid
f,s,m, , , , , ,invalid
p,u,f,h, , , , ,invalid
y,t,k,y,h, , , ,invalid
n,u,o, , , , , ,invalid
x,n,a,j, , , , ,invalid
g,e,y,s,e,r, , ,valid
b,a,n,k,r,u,p,t,valid
r,f,s, , , , , ,invalid
c,j,n,w, , , , ,invalid
e,e,l,s, , , , ,valid
o,b,h,s,l,s, , ,invalid
a,u,n,t, , , , ,valid
d,j,u,n,y, , , ,invalid
s,m,w,h,s,d, , ,invalid
o,y,n,h,r,c, , ,invalid
b,e,d,s,o,r,e,s,valid
c,s,e,y, , , , ,invalid
t,s,u,k,i, , , ,valid
y,m,n,x, , , , ,invalid
q,p,j,x,r,n, , ,invalid
d,o,f, , , , , ,invalid
w,y,m,d,m,j,n, ,invalid
c,l,t,l,c, , , ,invalid
y,c,k,g, , , , ,invalid
n,i,h,d,m, , , ,invalid
x,h,o, , , , , ,invalid
c,o,n,i,c, , , ,valid
x,r,a,y,c, , , ,invalid
h,t,x,s,h, , , ,invalid
x,v,l,f, , , , ,invalid
u,p,t,k,l, , , ,invalid
e,g,o,v,h,o,a, ,invalid
y,c,v,m,q, , , ,invalid
s,t,a,l,k,e,r,s,valid
e,m,o, , , , , ,valid
d,s,d,t, , , , ,invalid
l,t,o,d, , , , ,invalid
c,r,a,z,e,d, , ,valid
e,o,e,n,g,y,g, ,invalid
c,t,w,h, , , , ,invalid
i,n,n, , , , , ,invalid
f,a,p,s, , , , ,invalid
g,p,o, , , , , ,invalid
c,o,d,a, , , , ,valid
e,n,v,e,l,o,p,s,valid
g,j,g,i,g,x, , ,invalid
p,a,s,s,p,o,r,t,valid
j,a,g,g,e,d, , ,valid
i,r,i,s,e,s, , ,valid
e,m,f,t,g,n, , ,invalid
t,a,t,s,u, , , ,valid
u,n,r,d,y,v,t, ,invalid
s,u,h,c,i,x, , ,invalid
b,u,r,y, , , , ,valid
y,l,q,i,c, , , ,invalid
w,c,e,j,q,v,n, ,invalid
e,d,d, , , , , ,invalid
d,o,w,n,h,i,l,l,valid
e,c,l,i,p,s,e,d,valid
d,s,g,s,n,q,r, ,invalid
b,a,d,g,e,r,s, ,valid
g,c,m,k,l,x,q, ,invalid
n,h,m, , , , , ,invalid
d,p,u,i,u,i,r, ,invalid
c,e,n,t,e,r, , ,valid
g,r,a,d,u,a,l, ,valid
r,e,s,i,d,u,e, ,valid
s,m,a,c,k,e,r,s,valid
s,p,o,t, , , , ,valid
r,y,w,p,q,b,d, ,invalid
u,l,c,e,r,a,t,e,valid
s,r,g,l,y,o,y, ,invalid
y,j,y,f,b,c,k, ,invalid
d,n,w,b,q,c,x, ,invalid
j,v,k,f,m,t, , ,invalid
a,p,l,e,n,t,y, ,valid
l,k,k,r,q,m, , ,invalid
p,a,t,e,l,l,a,s,valid
b,r,g,o,x, , , ,invalid
s,h,o,p,t,a,l,k,valid
h,e,r,o,i,n,s, ,valid
s,d,h, , , , , ,invalid
o,e,y,n,c,u, , ,invalid
a,s,e,x,u,a,l, ,valid
w,n,t,g, , , , ,invalid
o,c,w,l,s,f,d, ,invalid
g,q,n, , , , , ,invalid
m,a,c,i,n,g, , ,valid
a,u,i,l,b,x,a, ,invalid
r,p,f,d,i,w,q, ,invalid
c,w,g,l, , , , ,invalid
n,o,v,i,c,e, , ,valid
h,h,r, , , , , ,invalid
b,x,o,h,s,g,y, ,invalid
f,k,c,w,d, , , ,invalid
c,j,u,c,d, , , ,invalid
t,a,x,y,i,n,g, ,valid
s,h,n,u, , , , ,invalid
t,h,i,s,t,l,e,s,valid
p,l,b,m,v, , , ,invalid
e,x,c,l,a,i,m,s,valid
n,p,s, , , , , ,invalid
w,q,w,l,o, , , ,invalid
s,y,y, , , , , ,invalid
c,o,l,o,r,s, , ,valid
a,b,g,b,g, , , ,invalid
n,y,k,v,w, , , ,invalid
f,o,w,s,b, , , ,invalid
m,a,g,t, , , , ,invalid
p,i,e,r, , , , ,valid
b,b,i, , , , , ,invalid
m,i,t,e,s, , , ,valid
s,i,f,t,e,r,s, ,valid
v,k,i,c,t,e, , ,invalid
s,p,e,a,r,i,n,g,valid
q,u,a,s,i, , , ,valid
b,v,u,t,l,x,c, ,invalid
r,e,a,l,t,o,r, ,valid
h,a,n,d,i,l,y, ,valid
f,y,y,v,a,n, , ,invalid
w,o,o,l,l,i,e,r,valid
n,m,e, , , , , ,invalid
c,d,w,n,q,y,u, ,invalid
e,g,f, , , , , ,invalid
j,x,x, , , , , ,invalid
x,l,r,x,j, , , ,invalid
m,n,s,e, , , , ,invalid
a,d,d,e,r,s, , ,valid
n,e,e,d,l,i,n,g,valid
i,h,k,p,m,d,k, ,invalid
t,r,q,k, , , , ,invalid
q,k,x,m, , , , ,invalid
c,a,t,k,i,n, , ,valid
k,f,k,l,j,x, , ,invalid
b,o,u,t, , , , ,valid
l,a,q,x, , , , ,invalid
e,l,j,c,j,j,p, ,invalid
d,x,h,a,e,l, , ,invalid
o,t,i,x, , , , ,invalid
t,e,r,r,a,i,n, ,valid
p,u,n,n,e,d, , ,valid
a,x,j,x, , , , ,invalid
w,h,p,j,j,w, , ,invalid
d,d,h,t,i,i,v, ,invalid
e,w,y,b, , , , ,invalid
u,s,i,c,e, , , ,invalid
w,p,r, , , , , ,invalid
o,o,j,l,l,n,n, ,invalid
b,o,i,l,e,r, , ,valid
t,i,n,t,i,n,g, ,valid
m,a,r,m,o,t, , ,valid
w,t,m,a,g,m,c, ,invalid
s,t,a,l,k,s, , ,valid
g,y,r, , , , , ,invalid
c,f,e,r,w, , , ,invalid
o,m,c,n,c,y, , ,invalid
e,o,n,o,o,j,f, ,invalid
s,m,d,t, , , , ,invalid
p,j,o,i, , , , ,invalid
g,j,u,g,e,k,f, ,invalid
s,y,l,l,a,b,l,e,valid
a,l,l,o,y, , , ,valid
g,k,e,l,l, , , ,invalid
i,q,c, , , , , ,invalid
l,e,g,w,o,r,k, ,valid
t,t,y,b, , , , ,invalid
d,h,h,l,m,t, , ,invalid
p,e,d,a,g,o,g,y,valid
g,e,l,a,t,i,n, ,valid
e,i,q,l, , , , ,invalid
b,l,a,z,e,d, , ,valid
d,e,u,c,e,s, , ,valid
s,o,a,p,y, , , ,valid
j,k,l, , , , , ,invalid
e,a,p,t,m,u,q, ,invalid
l,a,n,k,i,e,r, ,valid
d,i,l,u,t,e,s, ,valid
g,a,y, , , , , ,valid
s,t,i,n,k,s, , ,valid
p,i,e,c,e, , , ,valid
d,e,n,i,a,l,s, ,valid
l,e,n,d,e,r,s, ,valid
k,u,d,o,s, , , ,valid
x,p,s, , , , , ,invalid
m,b,l, , , , , ,invalid
c,l,a,r,i,f,y, ,valid
v,n,e,e,a,r, , ,invalid
q,r,j,l,i, , , ,invalid
h,o,o,k,w,o,r,m,valid
r,m,u,c,v,m, , ,invalid
t,u,d,i,w,k,j, ,invalid
c,o,b,b,l,e,s, ,valid
v,d,q,l,n, , , ,invalid
e,l,s,e, , , , ,valid
r,i,g,o,r, , , ,valid
q,g,g,p,b,i, , ,invalid
y,t,b,c, , , , ,invalid
n,x,o,b,x,x, , ,invalid
n,m,v,r,p,v,i, ,invalid
s,q,j, , , , , ,invalid
l,a,q,k,u,b, , ,invalid
d,e,e,p,e,s,t, ,valid
j,l,w,e,u,c, , ,invalid
o,t,q,w, , , , ,invalid
u,o,h, , , , , ,invalid
o,q,a,q, , , , ,invalid
f,l,a,w, , , , ,valid
m,p,j, , , , , ,invalid
q,u,p,o,f,w,t, ,invalid
o,m,m,n,q, , , ,invalid
d,e,c,e,i,v,e,s,valid
u,n,s,e,a,l, , ,valid
s,m,o,c,k,s, , ,valid
q,x,x,t,u,e,e, ,invalid
p,i,t,h,i,e,r, ,valid
x,t,f,x,q,s, , ,invalid
e,d,p,v,r, , , ,invalid
o,i,p,i,h,w,y, ,invalid
h,w,j,i, , , , ,invalid
y,o,e,q,u,s,a, ,invalid
p,a,s,s,e,l,s, ,valid
n,e,r,v,y, , , ,valid
c,f,r,i,k,u,s, ,invalid
e,p,x,u, , , , ,invalid
s,t,b,y,v,g, , ,invalid
e,x,p,o,u,n,d,s,valid
j,u,t,j,i, , , ,invalid
w,g,i,i, , , , ,invalid
k,s,a,f,l, , , ,invalid
v,l,k, , , , , ,invalid
x,i,o, , , , , ,invalid
h,o,r,n,e,t, , ,valid
m,y,v,f, , , , ,invalid
n,g,b, , , , , ,invalid
f,x,k,n, , , , ,invalid
m,h,h,n, , , , ,invalid
r,v,e,x,r,w, , ,invalid
m,g,t,i,y,k,h, ,invalid
f,a,n,g,s, , , ,valid
t,a,r,e,d, , , ,valid
y,k,r,y,d,j, , ,invalid
k,i,n, , , , , ,valid
p,o,i,c, , , , ,invalid
n,u,k,e,d, , , ,valid
h,j,y,l,t,u,u, ,invalid
x,u,p,v,c,y,y, ,invalid
d,t,o,t,t, , , ,invalid
c,w,n,w,u,i,l, ,invalid
k,n,b, , , , , ,invalid
o,q,t,d,b, , , ,invalid
w,t,x,q,k, , , ,invalid
a,k,h,o, , , , ,invalid
r,u,o,m,s, , , ,invalid
h,y,p,n,o,s,e,s,valid
n,e,m,e,s,e,s, ,valid
v,n,r,j,m, , , ,invalid
i,o,c,e,o,f,e, ,invalid
h,o,o,v,e,s, , ,valid
a,c,l,r,y,b, , ,invalid
p,l,a,q,u,e, , ,valid
b,o,n,e, , , , ,valid
i,k,a,l,x, , , ,invalid
h,o,p,s,p, , , ,invalid
p,a,m,p,e,r, , ,valid
p,r,e,d,i,c,t, ,valid
b,i,t,t,e,r,s, ,valid
t,k,n,l, , , , ,invalid
f,e,e,d,b,a,g, ,valid
b,i,r,e,t,t,a,s,valid
p,t,n,g, , , , ,invalid
o,u,t,w,i,t,s, ,valid
m,i,s,t,a,k,e,n,valid
f,h,q,r,d, , , ,invalid
b,f,i,i,x, , , ,invalid
e,p,o,v,h, , , ,invalid
r,i,v,y, , , , ,invalid
y,e,d,w, , , , ,invalid
i,c,d,o, , , , ,invalid
n,c,u, , , , , ,invalid
a,r,m,s, , , , ,valid
x,y,e, , , , , ,invalid
r,v,u,o, , , , ,invalid
o,i,j,f,s, , , ,invalid
h,q,a,b,p,q,o, ,invalid
n,e,a,r,e,s,t, ,valid
p,u,g,i,l,i,s,m,valid
r,o,u,g,h,s, , ,valid
l,b,l,e,k, , , ,invalid
w,b,x,h,s,c,m, ,invalid
v,f,g,w,k,t,m, ,invalid
c,r,c, , , , , ,invalid
b,q,c,y,c, , , ,invalid
v,i,o,l,a,t,e, ,valid
d,b,f,r, , , , ,invalid
v,a,v,k,k,l,m, ,invalid
z,e,s,t,s, , , ,valid
k,i,t, , , , , ,valid
c,a,x,n,g,m,g, ,invalid
v,f,r,d,q,j,y, ,invalid
g,u,s,h,e,r,s, ,valid
s,n,a, , , , , ,invalid
r,e,a,l,e,s, , ,valid
e,n,g,a,g,i,n,g,valid
d,o,w,n,y, , , ,valid
l,w,v,s,f,n,d, ,invalid
p,r,i,m,p,e,d, ,valid
l,a,m,e,n,t,e,d,valid
c,a,q,x, , , , ,invalid
s,f,h, , , , , ,invalid
q,j,k, , , , , ,invalid
k,h,b,r,y,u,s, ,invalid
v,r,v,r,x,x, , ,invalid
y,k,m,r,j,s, , ,invalid
r,a,i,l,w,a,y,s,valid
a,l,h,y,p,k,q, ,invalid
p,q,l,g,t,g, , ,invalid
q,w,g,k,e,x,f, ,invalid
k,c,m, , , , , ,invalid
g,o,u, , , , , ,invalid
t,i,p,p,l,i,n,g,valid
u,t,n, , , , , ,invalid
r,e,x,m,m,u, , ,invalid
e,g,p,p,g,v, , ,invalid
a,a,f,s,m, , , ,invalid
v,b,k,u, , , , ,invalid
l,j,n,p,q,j,v, ,invalid
r,e,t,c,h, , , ,valid
w,a,r,b,l,e,r, ,valid
d,x,t,q,b,l, , ,invalid
n,x,p, , , , , ,invalid
j,o,x, , , , , ,invalid
b,i,t,c,h,e,s, ,valid
e,f,x, , , , , ,invalid
b,l,o,w,o,u,t, ,valid
i,k,g,u,d, , , ,invalid
d,c,n, , , , , ,invalid
v,b,o,m,e,o, , ,invalid
x,c,c,m,p,x,c, ,invalid
c,u,s,h,i,e,s,t,valid
r,u,m,p,l,e, , ,valid
f,d,j,l,f,k,l, ,invalid
c,y,n,i,c,a,l, ,valid
d,i,n, , , , , ,valid
c,a,n,t,o,n, , ,valid
k,n,q,a,l, , , ,invalid
b,j,f,t,g,q, , ,invalid
o,k,a,y,e,d, , ,valid
e,n,s,e,m,b,l,e,valid
a,u,w,w,w, , , ,invalid
m,c,l,n,x, , , ,invalid
n,h,p, , , , , ,invalid
k,x,j, , , , , ,invalid
u,j,l,r, , , , ,invalid
m,u,n,b, , , , ,invalid
t,m,q,n,t, , , ,invalid
d,u,l,q,b,w,w, ,invalid
f,x,r, , , , , ,invalid
r,k,c,r,a,a,o, ,invalid
q,d,j,j,f,p, , ,invalid
m,m,d, , , , , ,invalid
q,u,a,r,t,e,r,s,valid
a,y,a,e,h,u,t, ,invalid
k,f,i, , , , , ,invalid
r,a,l,l,i,e,d, ,valid
s,u,f,l,x,u,w, ,invalid
r,d,o,q,d,w,j, ,invalid
d,r,u,m,m,e,r,s,valid
r,m,y,i,h, , , ,invalid
f,o,y,o,f,v, , ,invalid
w,n,d,p, , , , ,invalid
o,p,n,a, , , , ,invalid
u,p,m,c,s, , , ,invalid
h,x,g,x, , , , ,invalid
t,q,t,g,g,o,t, ,invalid
o,s,y,p, , , , ,invalid
a,n,o,d,y,n,e,s,valid
b,o,t,u,l,i,s,m,valid
y,u,n, , , , , ,invalid
h,o,o,t,e,r, , ,valid
f,r,e,s,h,e,n,s,valid
y,q,g,k,j,g, , ,invalid
v,j,o,y,e,n,t, ,invalid
w,f,r, , , , , ,invalid
n,r,r,r,u,q, , ,invalid
a,v,v,r,e, , , ,invalid
u,v,v,i, , , , ,invalid
t,k,a,g, , , , ,invalid
l,i,t,i,g,a,t,e,valid
s,o,n,c,f,f,v, ,invalid
b,n,d,f,c,w,b, ,invalid
l,a,m,i,n,g, , ,valid
g,a,m,m,a, , , ,valid
c,o,s,m,o,s, , ,valid
t,s,x,h, , , , ,invalid
x,g,a,l, , , , ,invalid
p,k,p,n,e,x, , ,invalid
g,u,x,f,q,t,g, ,invalid
s,q,d,h,x,y,y, ,invalid
e,x,p,l,a,i,n, ,valid
m,b,a, , , , , ,invalid
t,y,o, , , , , ,invalid
g,g,c,f,w, , , ,invalid
c,h,e,s,s,m,e,n,valid
c,h,y,c,f,g,o, ,invalid
l,i,n,k,a,g,e,s,valid
c,o,p,p,e,d, , ,valid
p,e,e,l,e,d, , ,valid
l,o,c,a,l, , , ,valid
w,a,l,k,s, , , ,valid
o,s,s,y,h,e,j, ,invalid
a,u,t,i,s,t,i,c,valid
q,y,g,k,p,h,f, ,invalid
e,a,m,p,y,q, , ,invalid
r,e,v,e,n,g,e, ,valid
t,r,o,u,t,s, , ,valid
o,f,f,s,e,t, , ,valid
s,b,f,v,c, , , ,invalid
o,i,u,l,t, , , ,invalid
v,i,y,i, , , , ,invalid
f,a,i,r,n,e,s,s,valid
m,h,l,m,f,q, , ,invalid
l,b,t,n, , , , ,invalid
r,e,a,u, , , , ,invalid
f,i,p, , , , , ,invalid
r,a,b,b,i,t,s, ,valid
e,r,a,s,u,r,e,s,valid
j,d,t,a,b, , , ,invalid
w,i,s,p, , , , ,valid
e,n,t,r,e,a,t,s,valid
d,h,y, , , , , ,invalid
s,t,a,b,l,e,r, ,valid
t,e,e,n,i,e,s,t,valid
w,f,b,d, , , , ,invalid
a,c,r,o,b,a,t,s,valid
v,s,m,k,y,j, , ,invalid
w,h,i,d,i,f,u, ,invalid
s,c,r,i,p,t, , ,valid
v,h,s,x,u, , , ,invalid
k,n,e,e,d, , , ,valid
s,o,s, , , , , ,invalid
s,u,i,c,i,d,a,l,valid
h,r,d,w,g,p, , ,invalid
c,e,k, , , , , ,invalid
v,i,v,a,c,e, , ,valid
p,s,q,s,u,u, , ,invalid
h,a,e, , , , , ,valid
g,r,u,b,s, , , ,valid
b,l,n,t,k,p, , ,invalid
s,l,u,m,p,e,d, ,valid
d,r,a,w,l,e,d, ,valid
t,e,d,p,i,w,x, ,invalid
u,i,x, , , , , ,invalid
o,t,q,j,y, , , ,invalid
b,o,u,n,c,y, , ,valid
f,p,e,r,i,i, , ,invalid
x,u,b, , , , , ,invalid
q,h,a,i,d, , , ,invalid
w,b,l,d, , , , ,invalid
j,i,l,y,h,g, , ,invalid
v,m,n,r,n,c, , ,invalid
b,o,n,k,e,r,s, ,valid
y,e,f,t,l,o, , ,invalid
l,p,y,q,j,a, , ,invalid
n,r,x,d,q, , , ,invalid
d,e,t,e,c,t,o,r,valid
g,r,o,o,v,i,n,g,valid
