char01,char02,char03,char04,char05,char06,char07,char08,prediction
c,r,e,s,t,e,d,*,valid
w,o,o,d,w,i,n,d,valid
n,w,c,n,p,*,*,*,invalid
a,f,g,g,l,*,*,*,invalid
w,n,d,g,p,n,f,*,invalid
o,g,w,t,*,*,*,*,invalid
f,u,v,e,*,*,*,*,invalid
c,u,t,e,*,*,*,*,valid
d,g,k,*,*,*,*,*,invalid
g,y,o,h,c,a,i,*,invalid
o,t,p,w,j,g,p,*,invalid
p,a,s,h,a,*,*,*,valid
h,k,s,*,*,*,*,*,invalid
h,a,n,g,s,*,*,*,valid
k,n,i,g,h,t,l,y,valid
a,m,r,x,x,a,*,*,invalid
u,l,e,v,w,*,*,*,invalid
e,q,t,p,*,*,*,*,invalid
p,o,s,i,n,g,*,*,valid
a,l,s,t,l,*,*,*,invalid
g,r,a,n,t,e,d,*,valid
l,v,b,*,*,*,*,*,invalid
w,s,c,v,*,*,*,*,invalid
r,e,d,s,k,i,n,s,valid
j,t,m,s,y,c,*,*,invalid
c,a,b,l,i,n,g,*,valid
r,e,f,u,s,e,s,*,valid
r,u,n,y,w,*,*,*,invalid
l,s,w,w,a,*,*,*,invalid
c,h,a,l,k,i,n,g,valid
l,x,l,s,*,*,*,*,invalid
b,n,c,w,o,j,y,*,invalid
s,a,d,d,e,n,e,d,valid
f,d,o,i,h,i,*,*,invalid
i,n,m,a,t,e,*,*,valid
g,q,q,c,o,t,g,*,invalid
s,u,b,g,r,o,u,p,valid
a,d,o,h,*,*,*,*,invalid
r,o,o,m,i,e,s,t,valid
a,m,n,c,*,*,*,*,invalid
i,m,p,r,o,p,e,r,valid
p,x,g,h,q,*,*,*,invalid
t,m,h,g,l,d,*,*,invalid
k,p,o,t,*,*,*,*,invalid
u,a,b,*,*,*,*,*,invalid
y,a,w,*,*,*,*,*,valid
e,w,h,q,l,*,*,*,invalid
t,o,n,i,n,g,*,*,valid
t,i,c,q,w,u,m,*,invalid
s,k,v,a,o,f,s,*,invalid
h,c,s,*,*,*,*,*,invalid
o,s,w,j,s,b,*,*,invalid
w,n,p,g,o,u,c,*,invalid
i,d,n,o,b,j,*,*,invalid
a,n,i,m,a,l,s,*,valid
h,q,x,s,y,c,*,*,invalid
q,e,r,d,q,f,u,*,invalid
d,e,v,i,l,i,n,g,valid
t,c,n,r,o,*,*,*,invalid
s,a,w,c,w,*,*,*,invalid
m,u,e,z,z,i,n,s,valid
f,d,f,r,a,*,*,*,invalid
m,i,t,t,r,*,*,*,invalid
a,j,q,q,*,*,*,*,invalid
h,b,e,f,u,t,p,*,invalid
n,w,h,y,*,*,*,*,invalid
n,d,g,f,*,*,*,*,invalid
l,m,b,y,*,*,*,*,invalid
v,e,c,t,o,r,s,*,valid
k,r,r,*,*,*,*,*,invalid
s,e,a,l,a,n,t,s,valid
w,j,e,r,d,q,v,*,invalid
c,a,b,l,e,*,*,*,valid
y,l,k,w,h,*,*,*,invalid
e,t,l,*,*,*,*,*,invalid
h,d,o,n,f,t,*,*,invalid
k,u,f,r,h,n,j,*,invalid
h,a,n,d,g,u,n,s,valid
s,t,a,n,c,h,e,d,valid
h,h,i,y,m,q,*,*,invalid
w,m,i,*,*,*,*,*,invalid
q,l,l,v,m,a,v,*,invalid
o,u,l,v,*,*,*,*,invalid
t,b,p,*,*,*,*,*,invalid
h,i,b,a,c,h,i,*,valid
x,c,e,f,*,*,*,*,invalid
l,a,c,i,n,g,*,*,valid
x,x,c,n,f,t,*,*,invalid
o,e,b,q,h,*,*,*,invalid
c,o,m,m,u,n,e,d,valid
g,w,a,x,t,x,*,*,invalid
l,u,j,s,d,q,q,*,invalid
a,i,v,*,*,*,*,*,invalid
t,t,e,x,u,m,*,*,invalid
b,r,o,a,d,e,r,*,valid
c,q,v,h,e,n,s,*,invalid
e,m,j,*,*,*,*,*,invalid
w,v,m,i,v,*,*,*,invalid
a,t,c,q,v,m,s,*,invalid
i,r,k,p,h,*,*,*,invalid
m,o,u,s,e,r,s,*,valid
f,l,o,w,e,r,s,*,valid
s,i,i,x,p,*,*,*,invalid
w,r,m,*,*,*,*,*,invalid
q,g,n,x,*,*,*,*,invalid
v,w,k,*,*,*,*,*,invalid
b,k,k,o,*,*,*,*,invalid
f,g,q,i,l,v,g,*,invalid
y,j,k,*,*,*,*,*,invalid
k,h,y,m,*,*,*,*,invalid
j,h,t,r,a,h,q,*,invalid
s,p,o,o,r,e,d,*,valid
c,h,a,r,i,e,s,t,valid
g,a,n,t,l,e,t,*,valid
o,e,l,n,l,p,y,*,invalid
j,a,t,y,*,*,*,*,invalid
d,i,r,t,i,e,d,*,valid
l,e,w,c,e,l,j,*,invalid
t,e,c,e,m,r,t,*,invalid
s,e,l,d,o,m,*,*,valid
h,f,t,*,*,*,*,*,invalid
a,f,l,u,t,t,e,r,valid
q,r,n,g,p,r,*,*,invalid
c,o,r,n,e,d,*,*,valid
e,u,k,*,*,*,*,*,invalid
s,t,u,n,g,*,*,*,valid
s,h,i,m,e,r,u,*,valid
u,o,j,b,m,*,*,*,invalid
d,e,m,a,n,d,e,d,valid
w,c,w,d,p,i,*,*,invalid
e,a,u,*,*,*,*,*,invalid
y,x,w,e,p,k,p,*,invalid
x,y,a,r,h,f,c,*,invalid
m,a,s,k,e,d,*,*,valid
l,a,k,e,s,*,*,*,valid
j,q,h,o,u,*,*,*,invalid
q,l,m,u,*,*,*,*,invalid
c,u,f,*,*,*,*,*,invalid
w,j,w,*,*,*,*,*,invalid
g,i,e,u,*,*,*,*,invalid
q,x,r,j,c,g,w,*,invalid
t,h,p,y,u,f,*,*,invalid
d,i,a,l,y,s,i,s,valid
s,c,o,w,l,s,*,*,valid
i,h,v,*,*,*,*,*,invalid
s,p,i,k,i,e,s,t,valid
m,b,w,g,y,m,t,*,invalid
f,a,l,s,e,t,t,o,valid
l,y,r,v,*,*,*,*,invalid
r,d,g,f,u,e,*,*,invalid
n,m,y,l,j,*,*,*,invalid
b,a,c,k,u,p,*,*,valid
i,n,f,i,d,e,l,*,valid
m,a,h,l,x,*,*,*,invalid
n,u,w,t,v,n,s,*,invalid
c,h,e,c,k,e,d,*,valid
g,e,n,i,i,*,*,*,valid
m,b,p,j,a,*,*,*,invalid
i,a,m,t,*,*,*,*,invalid
k,e,m,u,r,i,*,*,valid
l,r,o,*,*,*,*,*,invalid
n,t,k,*,*,*,*,*,invalid
m,i,e,n,s,*,*,*,valid
w,r,m,u,e,*,*,*,invalid
s,o,o,n,e,s,t,*,valid
b,e,t,t,i,n,g,*,valid
q,x,y,b,m,j,q,*,invalid
n,k,l,u,x,*,*,*,invalid
s,a,n,c,t,a,*,*,valid
v,i,k,m,w,*,*,*,invalid
l,k,y,m,*,*,*,*,invalid
a,u,b,q,*,*,*,*,invalid
t,j,f,p,*,*,*,*,invalid
d,m,r,*,*,*,*,*,invalid
u,a,e,l,n,*,*,*,invalid
f,l,i,n,t,*,*,*,valid
d,e,j,v,c,s,w,*,invalid
w,e,a,r,i,n,g,*,valid
q,g,r,r,*,*,*,*,invalid
g,o,s,p,e,l,*,*,valid
m,i,n,t,i,e,r,*,valid
g,p,h,c,c,s,*,*,invalid
q,g,l,s,s,h,*,*,invalid
c,h,o,c,k,s,*,*,valid
o,q,v,v,v,j,r,*,invalid
e,t,g,a,v,u,r,*,invalid
u,n,e,r,t,*,*,*,invalid
q,u,a,v,e,r,y,*,valid
s,c,g,*,*,*,*,*,invalid
p,s,t,m,i,*,*,*,invalid
p,l,u,n,k,i,n,g,valid
t,m,u,n,e,e,*,*,invalid
c,a,p,l,e,t,*,*,valid
t,k,o,u,s,n,*,*,invalid
a,e,y,*,*,*,*,*,invalid
i,n,c,e,n,s,e,*,valid
v,i,g,i,l,a,n,t,valid
p,d,p,l,x,*,*,*,invalid
o,r,c,h,i,d,*,*,valid
i,k,c,m,t,y,*,*,invalid
e,r,a,s,u,r,e,*,valid
m,i,v,*,*,*,*,*,invalid
j,i,v,r,*,*,*,*,invalid
n,q,x,*,*,*,*,*,invalid
k,b,y,*,*,*,*,*,invalid
c,h,a,s,u,b,l,e,valid
p,h,o,o,e,y,*,*,valid
l,a,u,g,h,i,n,g,valid
j,b,h,q,*,*,*,*,invalid
g,n,d,e,q,*,*,*,invalid
e,s,c,a,p,i,s,t,valid
s,p,i,e,l,e,d,*,valid
v,m,t,w,b,w,*,*,invalid
h,b,n,l,*,*,*,*,invalid
k,p,m,l,i,f,r,*,invalid
a,d,a,g,i,o,s,*,valid
v,g,f,o,*,*,*,*,invalid
y,h,w,i,a,l,j,*,invalid
k,w,p,p,p,h,*,*,invalid
u,w,t,r,r,v,w,*,invalid
s,n,c,g,*,*,*,*,invalid
q,b,e,m,q,h,d,*,invalid
c,a,t,h,o,d,e,s,valid
b,v,u,b,l,*,*,*,invalid
b,h,l,m,f,o,k,*,invalid
f,o,u,l,l,y,*,*,valid
f,n,v,d,o,u,*,*,invalid
f,o,o,t,s,i,e,*,valid
w,g,i,w,n,*,*,*,invalid
m,t,a,r,*,*,*,*,invalid
d,y,d,t,*,*,*,*,invalid
e,d,w,p,l,*,*,*,invalid
s,o,u,r,s,*,*,*,valid
w,i,z,e,n,e,d,*,valid
p,r,o,v,a,b,l,e,valid
g,a,p,e,s,*,*,*,valid
g,n,a,r,l,s,*,*,valid
b,f,k,d,*,*,*,*,invalid
q,w,n,x,v,o,*,*,invalid
f,v,p,*,*,*,*,*,invalid
f,g,g,c,*,*,*,*,invalid
f,s,w,y,i,c,c,*,invalid
p,q,d,l,*,*,*,*,invalid
h,q,j,b,q,*,*,*,invalid
l,a,n,d,l,o,r,d,valid
j,i,c,n,*,*,*,*,invalid
a,d,c,*,*,*,*,*,invalid
p,l,a,y,f,u,l,*,valid
y,b,f,a,b,p,n,*,invalid
c,o,e,e,g,*,*,*,invalid
o,t,r,p,*,*,*,*,invalid
c,h,u,b,b,i,e,r,valid
i,i,h,l,k,*,*,*,invalid
e,l,l,*,*,*,*,*,invalid
f,r,e,e,b,i,e,s,valid
p,i,m,n,m,k,g,*,invalid
r,a,i,l,i,n,g,*,valid
j,h,p,q,e,*,*,*,invalid
q,a,p,m,y,*,*,*,invalid
a,p,f,*,*,*,*,*,invalid
x,i,q,p,q,n,p,*,invalid
u,v,b,p,f,q,*,*,invalid
t,y,o,f,e,n,p,*,invalid
d,v,g,n,i,g,*,*,invalid
s,a,r,a,p,e,s,*,valid
b,b,d,*,*,*,*,*,invalid
e,g,q,*,*,*,*,*,invalid
t,y,p,h,o,o,n,s,valid
s,p,r,i,n,g,s,*,valid
t,p,x,*,*,*,*,*,invalid
s,v,o,i,m,u,*,*,invalid
d,i,n,t,*,*,*,*,valid
p,a,w,p,a,w,*,*,valid
c,u,t,e,r,*,*,*,valid
q,s,t,*,*,*,*,*,invalid
o,y,t,g,g,r,*,*,invalid
c,o,u,n,t,s,*,*,valid
m,o,m,e,n,t,u,m,valid
f,u,s,c,o,h,w,*,invalid
b,a,r,r,o,w,s,*,valid
t,e,e,n,i,e,r,*,valid
d,o,x,o,l,o,g,y,valid
f,r,v,p,g,*,*,*,invalid
s,a,l,i,v,a,*,*,valid
q,p,e,*,*,*,*,*,invalid
s,h,u,s,h,*,*,*,valid
u,f,w,i,j,*,*,*,invalid
w,l,w,t,*,*,*,*,invalid
a,l,d,e,r,m,a,n,valid
w,a,s,p,i,s,h,*,valid
b,a,b,e,l,s,*,*,valid
l,v,o,i,d,k,*,*,invalid
t,g,m,n,a,*,*,*,invalid
s,o,w,*,*,*,*,*,valid
p,l,a,t,e,a,u,s,valid
s,r,r,j,b,t,c,*,invalid
e,g,r,k,y,t,*,*,invalid
b,p,r,g,l,s,f,*,invalid
q,x,v,*,*,*,*,*,invalid
t,i,m,e,z,o,n,e,valid
p,r,e,f,e,r,*,*,valid
g,r,a,n,n,i,e,s,valid
a,g,d,e,a,t,c,*,invalid
i,g,u,a,n,a,s,*,valid
y,c,a,e,*,*,*,*,invalid
b,h,s,c,b,*,*,*,invalid
t,p,n,i,c,l,s,*,invalid
l,a,c,l,*,*,*,*,invalid
h,p,v,c,e,o,n,*,invalid
g,u,i,l,t,y,*,*,valid
f,e,m,*,*,*,*,*,invalid
s,e,x,t,a,n,t,*,valid
o,w,q,a,*,*,*,*,invalid
k,f,b,v,b,j,o,*,invalid
t,y,n,*,*,*,*,*,invalid
r,e,o,b,j,l,e,*,invalid
v,a,e,h,u,*,*,*,invalid
e,o,j,v,*,*,*,*,invalid
n,o,m,a,d,*,*,*,valid
g,q,x,e,h,d,n,*,invalid
a,t,k,*,*,*,*,*,invalid
h,e,o,k,*,*,*,*,invalid
l,e,l,*,*,*,*,*,invalid
d,w,b,q,o,h,k,*,invalid
p,i,a,a,d,j,v,*,invalid
b,g,b,a,o,b,w,*,invalid
g,w,e,*,*,*,*,*,invalid
t,e,t,h,e,r,e,d,valid
t,q,i,h,f,s,*,*,invalid
k,b,p,r,f,*,*,*,invalid
s,d,b,i,i,g,*,*,invalid
f,w,y,p,x,t,*,*,invalid
f,a,q,p,p,g,*,*,invalid
s,n,d,x,t,e,r,*,invalid
o,y,o,b,i,*,*,*,valid
p,u,n,t,*,*,*,*,valid
x,j,s,*,*,*,*,*,invalid
a,t,t,e,n,d,e,d,valid
d,b,i,k,t,o,*,*,invalid
c,e,t,a,c,e,a,n,valid
g,t,j,n,v,y,m,*,invalid
t,t,t,r,p,w,*,*,invalid
c,v,k,b,p,l,*,*,invalid
r,s,x,y,s,k,y,*,invalid
b,h,a,*,*,*,*,*,invalid
k,p,n,k,s,*,*,*,invalid
s,e,y,o,b,a,i,*,invalid
l,l,h,u,g,n,*,*,invalid
o,y,y,q,o,*,*,*,invalid
x,o,h,d,f,c,*,*,invalid
b,e,a,t,e,r,s,*,valid
n,v,w,t,f,o,*,*,invalid
e,a,h,i,u,g,*,*,invalid
u,k,i,*,*,*,*,*,invalid
l,h,t,h,k,d,s,*,invalid
f,w,q,*,*,*,*,*,invalid
m,t,w,c,k,*,*,*,invalid
f,b,s,*,*,*,*,*,invalid
f,l,f,*,*,*,*,*,invalid
p,a,l,l,e,d,*,*,valid
u,n,d,u,l,a,n,t,valid
p,c,x,x,l,*,*,*,invalid
o,p,g,d,r,*,*,*,invalid
s,p,e,w,*,*,*,*,valid
r,o,r,c,o,v,f,*,invalid
b,l,v,t,k,*,*,*,invalid
g,y,i,i,r,*,*,*,invalid
s,o,n,l,j,m,*,*,invalid
l,e,x,k,c,h,s,*,invalid
v,o,l,t,a,g,e,*,valid
s,l,e,w,s,*,*,*,valid
r,i,s,e,n,*,*,*,valid
b,l,e,e,d,i,n,g,valid
k,f,k,k,v,s,*,*,invalid
i,t,t,t,o,*,*,*,invalid
f,q,k,s,f,g,*,*,invalid
p,x,v,c,j,i,*,*,invalid
d,s,q,n,n,*,*,*,invalid
p,x,o,m,b,r,*,*,invalid
p,w,b,c,u,x,r,*,invalid
f,a,i,n,t,i,n,g,valid
c,o,r,n,i,n,g,*,valid
a,p,p,e,n,d,e,d,valid
m,d,b,g,*,*,*,*,invalid
t,e,r,t,i,a,r,y,valid
h,e,m,m,k,*,*,*,invalid
l,y,b,m,*,*,*,*,invalid
e,x,p,e,n,d,s,*,valid
t,o,b,*,*,*,*,*,invalid
p,u,p,i,l,*,*,*,valid
d,r,e,a,m,i,n,g,valid
j,m,i,u,w,v,x,*,invalid
t,u,r,r,e,t,s,*,valid
v,m,k,s,s,j,*,*,invalid
k,q,b,*,*,*,*,*,invalid
l,o,f,t,i,n,g,*,valid
p,f,y,d,*,*,*,*,invalid
t,o,w,x,w,*,*,*,invalid
n,v,b,b,e,p,a,*,invalid
r,e,f,u,s,e,d,*,valid
p,h,y,o,j,g,*,*,invalid
p,e,c,s,*,*,*,*,valid
f,p,j,m,t,j,e,*,invalid
x,u,s,s,q,d,*,*,invalid
e,d,t,x,*,*,*,*,invalid
q,l,f,*,*,*,*,*,invalid
w,e,a,k,e,r,*,*,valid
s,n,o,r,i,n,g,*,valid
v,i,l,l,a,s,*,*,valid
n,v,i,d,j,g,v,*,invalid
y,s,d,l,a,l,*,*,invalid
h,y,d,c,s,*,*,*,invalid
g,y,a,n,u,q,*,*,invalid
s,u,c,c,o,r,*,*,valid
m,p,p,u,s,t,t,*,invalid
m,d,o,k,y,*,*,*,invalid
f,a,r,*,*,*,*,*,invalid
t,i,n,*,*,*,*,*,valid
c,j,o,g,t,y,y,*,invalid
t,e,e,m,i,n,g,*,valid
r,i,p,*,*,*,*,*,valid
o,d,c,f,b,c,n,*,invalid
f,s,l,*,*,*,*,*,invalid
d,e,c,k,i,n,g,*,valid
q,l,h,*,*,*,*,*,invalid
g,r,c,f,a,d,c,*,invalid
k,r,f,l,*,*,*,*,invalid
c,y,y,*,*,*,*,*,invalid
l,q,x,p,e,*,*,*,invalid
d,e,f,i,n,i,n,g,valid
l,u,r,m,d,k,k,*,invalid
m,i,e,m,w,*,*,*,invalid
p,r,e,a,m,b,l,e,valid
u,i,h,j,x,s,k,*,invalid
o,g,v,u,f,*,*,*,invalid
e,x,i,l,e,d,*,*,valid
i,m,p,r,e,s,s,*,valid
