char01,char02,char03,char04,char05,char06,char07,char08,prediction
r,o,o,k,s,*,*,*,valid
h,o,l,x,o,*,*,*,invalid
d,r,y,a,e,*,*,*,invalid
t,r,i,c,k,i,e,r,valid
g,r,i,e,v,e,d,*,valid
w,v,v,q,x,i,a,*,invalid
s,y,n,m,*,*,*,*,invalid
d,r,j,*,*,*,*,*,invalid
c,a,l,l,u,s,e,d,valid
x,g,g,j,x,s,f,*,invalid
c,p,u,r,p,*,*,*,invalid
p,a,d,d,l,e,*,*,valid
b,o,b,w,h,i,t,e,valid
x,q,q,*,*,*,*,*,invalid
f,r,o,n,t,i,e,r,valid
p,v,a,c,q,c,o,*,invalid
h,o,p,e,*,*,*,*,valid
b,m,v,*,*,*,*,*,invalid
a,o,k,*,*,*,*,*,invalid
z,i,n,g,i,n,g,*,valid
h,q,r,j,k,w,*,*,invalid
i,a,d,*,*,*,*,*,invalid
t,u,n,e,f,u,l,*,valid
u,s,i,c,c,*,*,*,invalid
t,r,m,o,*,*,*,*,invalid
f,i,c,k,l,e,r,*,valid
k,a,n,g,o,f,u,*,valid
m,a,g,l,g,w,y,*,invalid
u,g,g,g,m,*,*,*,invalid
a,a,h,e,o,*,*,*,invalid
g,u,f,m,*,*,*,*,invalid
l,e,k,q,e,x,*,*,invalid
h,i,b,m,c,*,*,*,invalid
x,l,m,v,*,*,*,*,invalid
t,i,b,i,a,s,*,*,valid
t,l,c,*,*,*,*,*,invalid
c,x,f,*,*,*,*,*,invalid
s,o,l,s,t,i,c,e,valid
k,n,u,c,k,l,e,d,valid
f,g,e,s,d,o,*,*,invalid
f,n,y,t,k,*,*,*,invalid
x,i,h,h,*,*,*,*,invalid
c,r,i,b,b,e,d,*,valid
a,x,f,e,*,*,*,*,invalid
w,l,x,s,w,s,e,*,invalid
y,w,w,l,*,*,*,*,invalid
k,d,l,d,*,*,*,*,invalid
v,a,n,i,s,h,e,s,valid
v,a,i,n,*,*,*,*,valid
x,n,r,x,s,*,*,*,invalid
j,p,v,n,v,b,r,*,invalid
v,a,n,q,p,m,f,*,invalid
m,o,a,n,i,n,g,*,valid
k,n,a,c,k,s,*,*,valid
b,t,v,e,*,*,*,*,invalid
d,h,q,n,j,n,t,*,invalid
c,k,b,*,*,*,*,*,invalid
t,l,g,j,*,*,*,*,invalid
s,a,t,i,a,t,e,s,valid
v,d,c,x,x,o,m,*,invalid
x,d,d,k,y,s,q,*,invalid
s,q,u,a,w,*,*,*,valid
u,v,k,r,*,*,*,*,invalid
u,y,r,q,o,k,*,*,invalid
y,n,w,t,*,*,*,*,invalid
f,o,o,k,r,*,*,*,invalid
v,v,m,w,k,e,n,*,invalid
j,a,b,s,*,*,*,*,valid
c,j,u,d,*,*,*,*,invalid
g,r,o,u,s,e,d,*,valid
i,c,l,k,e,*,*,*,invalid
e,x,t,e,n,d,e,d,valid
c,a,r,r,i,a,g,e,valid
m,f,t,e,r,q,*,*,invalid
b,p,u,r,u,*,*,*,invalid
w,i,d,e,*,*,*,*,valid
d,b,k,b,h,e,*,*,invalid
c,h,a,p,t,*,*,*,valid
l,d,h,i,w,p,y,*,invalid
s,p,e,l,l,i,n,g,valid
o,u,w,*,*,*,*,*,invalid
m,o,o,d,i,l,y,*,valid
d,o,g,m,a,*,*,*,valid
w,o,r,d,*,*,*,*,valid
b,r,e,a,s,t,s,*,valid
t,v,y,v,w,*,*,*,invalid
u,q,b,s,*,*,*,*,invalid
d,k,w,t,*,*,*,*,invalid
l,a,c,k,e,d,*,*,valid
n,i,g,h,*,*,*,*,valid
b,l,a,c,k,s,*,*,valid
y,u,p,*,*,*,*,*,invalid
j,x,x,*,*,*,*,*,invalid
s,c,r,i,p,s,*,*,valid
i,x,w,v,q,w,f,*,invalid
s,p,w,x,*,*,*,*,invalid
l,b,b,t,*,*,*,*,invalid
q,u,o,i,t,e,d,*,valid
s,m,o,o,c,h,e,s,valid
s,h,i,r,u,*,*,*,valid
b,u,s,b,y,*,*,*,valid
o,g,i,*,*,*,*,*,invalid
q,i,l,*,*,*,*,*,invalid
a,l,l,i,e,d,*,*,valid
l,e,w,o,f,*,*,*,invalid
j,w,g,b,v,a,h,*,invalid
m,e,r,g,e,r,*,*,valid
p,a,d,c,t,n,*,*,invalid
i,y,a,t,y,d,*,*,invalid
s,a,u,*,*,*,*,*,invalid
a,l,l,a,y,i,n,g,valid
s,l,i,c,e,r,s,*,valid
h,a,s,t,y,*,*,*,valid
t,g,c,u,i,g,*,*,invalid
e,n,t,a,i,l,*,*,valid
f,i,x,p,d,d,y,*,invalid
e,s,o,p,h,a,g,i,valid
o,b,r,*,*,*,*,*,invalid
f,u,c,k,e,r,*,*,valid
s,n,m,v,*,*,*,*,invalid
a,n,p,c,*,*,*,*,invalid
c,o,n,c,e,a,l,*,valid
s,t,a,r,v,e,d,*,valid
t,u,r,b,o,t,*,*,valid
b,b,h,s,l,h,*,*,invalid
y,t,g,m,d,f,t,*,invalid
r,i,l,e,*,*,*,*,valid
p,i,t,c,h,m,e,n,valid
c,l,a,p,p,e,r,*,valid
w,o,b,e,s,h,*,*,invalid
d,d,l,b,q,y,*,*,invalid
d,b,o,t,d,v,r,*,invalid
w,v,c,u,r,f,k,*,invalid
b,u,r,e,a,u,s,*,valid
d,a,u,p,h,i,n,s,valid
d,y,t,w,q,x,c,*,invalid
a,s,c,e,n,d,s,*,valid
s,k,u,l,k,e,d,*,valid
w,w,d,*,*,*,*,*,invalid
n,m,m,a,*,*,*,*,invalid
j,y,l,v,m,w,x,*,invalid
l,h,c,u,j,j,w,*,invalid
w,y,t,b,*,*,*,*,invalid
b,r,a,i,n,i,n,g,valid
c,h,o,r,d,s,*,*,valid
r,h,q,*,*,*,*,*,invalid
m,m,q,c,x,*,*,*,invalid
s,s,g,j,r,w,*,*,invalid
c,q,d,b,*,*,*,*,invalid
b,u,n,n,y,*,*,*,valid
t,o,p,m,o,s,t,*,valid
s,a,m,u,i,*,*,*,valid
g,a,m,i,n,*,*,*,valid
s,w,a,m,p,s,*,*,valid
i,b,k,w,m,y,m,*,invalid
s,h,i,n,u,*,*,*,valid
d,f,a,o,w,h,*,*,invalid
b,r,i,m,s,*,*,*,valid
y,u,r,k,n,a,*,*,invalid
m,f,y,a,s,*,*,*,invalid
j,a,r,*,*,*,*,*,valid
t,x,e,r,m,e,l,*,invalid
l,i,v,i,n,g,s,*,valid
w,y,d,a,q,m,p,*,invalid
e,r,s,a,r,l,f,*,invalid
j,o,u,l,e,*,*,*,valid
k,h,x,y,d,p,*,*,invalid
p,a,n,t,s,u,i,t,valid
g,o,s,s,a,m,e,r,valid
c,e,t,b,r,v,i,*,invalid
q,m,g,*,*,*,*,*,invalid
x,v,t,h,s,*,*,*,invalid
g,d,k,o,*,*,*,*,invalid
a,p,p,o,i,n,t,*,valid
t,k,c,u,r,*,*,*,invalid
g,a,g,u,h,j,m,*,invalid
h,y,x,s,j,c,b,*,invalid
d,e,a,d,e,r,*,*,valid
j,x,b,*,*,*,*,*,invalid
t,u,i,f,h,g,l,*,invalid
i,l,d,d,h,c,m,*,invalid
r,u,s,h,e,d,*,*,valid
t,j,r,q,y,m,q,*,invalid
b,o,o,k,e,n,d,s,valid
k,l,j,l,*,*,*,*,invalid
r,s,p,y,n,*,*,*,invalid
l,b,t,*,*,*,*,*,invalid
s,q,n,d,l,l,*,*,invalid
g,i,n,*,*,*,*,*,valid
l,a,c,i,e,s,t,*,valid
i,s,d,o,*,*,*,*,invalid
e,k,n,*,*,*,*,*,invalid
v,w,u,*,*,*,*,*,invalid
k,y,m,t,*,*,*,*,invalid
h,o,o,r,a,y,s,*,valid
c,h,o,p,p,i,l,y,valid
q,e,u,i,i,i,n,*,invalid
v,y,w,*,*,*,*,*,invalid
v,l,p,j,a,i,*,*,invalid
g,a,m,b,o,l,e,d,valid
l,q,q,*,*,*,*,*,invalid
x,y,y,*,*,*,*,*,invalid
b,u,n,g,e,d,*,*,valid
c,b,k,q,a,*,*,*,invalid
x,l,u,c,a,h,h,*,invalid
v,p,p,g,*,*,*,*,invalid
k,j,n,e,i,w,*,*,invalid
m,m,l,m,*,*,*,*,invalid
h,v,g,d,j,q,y,*,invalid
t,i,x,y,g,b,v,*,invalid
c,v,a,t,p,q,m,*,invalid
t,r,i,p,o,d,s,*,valid
g,u,p,f,g,w,g,*,invalid
c,h,d,n,c,*,*,*,invalid
v,e,r,s,i,f,y,*,valid
f,w,n,*,*,*,*,*,invalid
o,m,l,j,*,*,*,*,invalid
c,r,a,t,i,n,g,*,valid
p,l,a,t,e,n,*,*,valid
e,a,w,*,*,*,*,*,invalid
m,i,d,p,o,i,n,t,valid
o,g,x,g,*,*,*,*,invalid
g,e,j,*,*,*,*,*,invalid
h,e,a,h,t,i,*,*,invalid
m,u,s,c,l,e,s,*,valid
m,i,q,a,p,*,*,*,invalid
u,e,o,v,h,x,*,*,invalid
c,f,b,*,*,*,*,*,invalid
l,q,t,b,m,h,x,*,invalid
n,a,t,u,r,e,s,*,valid
l,a,x,a,t,i,v,e,valid
e,s,v,w,g,*,*,*,invalid
a,o,c,b,n,d,*,*,invalid
h,a,n,d,i,e,s,t,valid
o,g,y,x,i,k,t,*,invalid
o,k,a,p,v,*,*,*,invalid
y,m,p,k,b,b,*,*,invalid
s,a,s,s,i,n,g,*,valid
i,g,n,o,r,a,n,t,valid
o,l,d,*,*,*,*,*,invalid
m,j,w,*,*,*,*,*,invalid
u,o,a,*,*,*,*,*,invalid
j,x,u,t,b,q,*,*,invalid
u,p,v,s,t,*,*,*,invalid
k,l,k,b,*,*,*,*,invalid
n,q,g,o,i,s,q,*,invalid
t,b,g,e,*,*,*,*,invalid
o,f,f,e,n,d,e,r,valid
f,a,d,e,*,*,*,*,valid
e,q,f,m,w,h,h,*,invalid
o,l,a,x,l,*,*,*,invalid
k,a,f,a,u,p,*,*,invalid
b,o,m,b,*,*,*,*,valid
l,e,h,o,b,*,*,*,invalid
f,l,a,m,i,n,g,*,valid
l,i,l,i,e,s,*,*,valid
i,v,n,w,p,*,*,*,invalid
b,i,a,d,w,b,*,*,invalid
w,i,g,x,*,*,*,*,invalid
t,k,h,j,l,p,c,*,invalid
d,l,a,e,m,a,w,*,invalid
c,d,c,x,k,l,*,*,invalid
c,e,d,i,l,l,a,*,valid
m,s,v,e,v,*,*,*,invalid
u,n,s,t,r,u,n,g,valid
m,i,d,y,e,a,r,s,valid
d,v,d,a,w,q,*,*,invalid
t,i,b,f,s,e,*,*,invalid
t,o,i,l,e,r,s,*,valid
g,a,t,h,e,r,e,d,valid
h,u,m,a,n,e,l,y,valid
x,a,f,t,h,i,s,*,invalid
e,r,r,a,t,u,m,*,valid
o,f,f,e,n,d,s,*,valid
n,x,h,*,*,*,*,*,invalid
w,c,n,i,s,s,w,*,invalid
p,o,w,r,p,v,*,*,invalid
c,o,r,e,s,*,*,*,valid
r,f,r,t,t,t,i,*,invalid
d,j,o,p,k,h,*,*,invalid
u,h,s,*,*,*,*,*,invalid
e,a,w,q,h,f,i,*,invalid
c,d,g,*,*,*,*,*,invalid
n,o,s,h,e,d,*,*,valid
d,i,r,e,s,t,*,*,valid
o,m,b,w,h,e,t,*,invalid
g,i,g,g,l,e,r,*,valid
l,i,k,e,n,e,d,*,valid
s,n,a,p,p,e,r,s,valid
p,a,k,s,r,r,*,*,invalid
m,l,l,*,*,*,*,*,invalid
b,e,f,a,l,l,*,*,valid
u,j,i,a,c,*,*,*,invalid
i,s,l,e,o,y,*,*,invalid
c,b,i,p,*,*,*,*,invalid
o,a,l,h,a,q,*,*,invalid
c,o,r,o,n,e,r,*,valid
r,a,g,*,*,*,*,*,invalid
x,q,w,*,*,*,*,*,invalid
a,l,i,g,n,s,*,*,valid
w,h,i,p,*,*,*,*,valid
s,u,l,k,i,e,r,*,valid
g,a,l,s,x,r,k,*,invalid
i,e,d,s,*,*,*,*,invalid
b,a,t,h,m,a,t,s,valid
c,e,d,r,a,g,*,*,invalid
n,m,i,k,v,v,s,*,invalid
o,v,u,l,a,t,e,s,valid
b,i,r,d,*,*,*,*,valid
m,r,e,d,*,*,*,*,invalid
r,o,b,b,e,r,*,*,valid
y,g,j,j,u,h,x,*,invalid
w,a,f,t,e,d,*,*,valid
b,o,y,g,t,*,*,*,invalid
f,o,r,m,a,l,*,*,valid
o,l,l,o,m,*,*,*,invalid
b,e,n,d,e,r,*,*,valid
s,k,g,t,o,n,*,*,invalid
a,p,p,l,i,e,d,*,valid
c,y,r,d,y,r,*,*,invalid
q,o,t,y,w,j,*,*,invalid
d,i,n,g,y,*,*,*,valid
c,r,a,s,h,*,*,*,valid
g,p,n,r,k,k,h,*,invalid
r,a,b,b,l,e,s,*,valid
o,s,l,o,h,e,l,*,invalid
l,n,o,i,t,c,k,*,invalid
e,a,n,h,w,w,*,*,invalid
l,e,i,*,*,*,*,*,valid
s,p,o,r,t,i,v,e,valid
w,c,c,g,v,v,*,*,invalid
q,d,b,r,p,*,*,*,invalid
y,u,*,*,*,*,*,*,valid
b,e,e,f,i,e,r,*,valid
f,r,a,c,t,a,l,*,valid
m,m,r,e,e,*,*,*,invalid
b,i,t,t,e,r,s,*,valid
h,e,w,*,*,*,*,*,invalid
x,d,p,*,*,*,*,*,invalid
h,n,d,*,*,*,*,*,invalid
l,e,f,t,*,*,*,*,valid
g,d,t,e,q,k,s,*,invalid
f,r,e,e,*,*,*,*,valid
b,s,y,c,n,q,*,*,invalid
v,n,v,k,w,k,*,*,invalid
w,a,s,t,e,r,s,*,valid
e,k,s,p,g,n,*,*,invalid
w,s,x,r,n,s,*,*,invalid
s,p,e,*,*,*,*,*,invalid
o,f,n,j,*,*,*,*,invalid
h,a,r,d,l,i,n,e,valid
c,o,l,d,s,*,*,*,valid
a,r,c,h,l,y,*,*,valid
n,w,k,*,*,*,*,*,invalid
r,n,d,g,c,x,f,*,invalid
s,e,r,v,e,*,*,*,valid
b,r,a,c,e,*,*,*,valid
i,n,g,e,s,t,s,*,valid
c,a,v,e,r,n,s,*,valid
n,y,w,v,r,h,*,*,invalid
f,c,f,r,m,m,*,*,invalid
j,h,f,a,q,*,*,*,invalid
w,e,a,p,o,n,*,*,valid
e,a,t,s,*,*,*,*,valid
x,f,m,g,q,k,*,*,invalid
l,a,z,y,i,n,g,*,valid
r,e,s,p,e,c,t,s,valid
p,n,g,m,n,h,*,*,invalid
t,r,e,e,*,*,*,*,valid
s,y,y,g,*,*,*,*,invalid
y,f,t,u,e,f,d,*,invalid
t,m,y,*,*,*,*,*,invalid
x,h,u,*,*,*,*,*,invalid
s,i,s,l,*,*,*,*,invalid
t,v,k,i,d,a,b,*,invalid
s,c,h,m,u,c,k,s,valid
e,a,t,*,*,*,*,*,valid
r,u,s,t,i,c,s,*,valid
p,w,y,l,*,*,*,*,invalid
b,a,n,d,i,t,s,*,valid
f,f,r,t,*,*,*,*,invalid
s,b,a,*,*,*,*,*,invalid
y,k,m,u,*,*,*,*,invalid
x,j,q,m,*,*,*,*,invalid
v,b,t,i,*,*,*,*,invalid
g,u,a,v,a,s,*,*,valid
k,g,q,n,p,a,*,*,invalid
d,u,c,k,b,i,l,l,valid
b,r,a,y,i,n,g,*,valid
l,a,n,g,u,o,r,s,valid
f,l,o,o,d,e,r,*,valid
s,t,i,g,m,a,s,*,valid
s,i,n,k,a,b,l,e,valid
f,n,n,l,b,*,*,*,invalid
e,n,c,a,s,e,d,*,valid
o,j,m,*,*,*,*,*,invalid
s,p,c,x,d,q,*,*,invalid
r,e,n,t,a,l,s,*,valid
o,b,k,t,*,*,*,*,invalid
s,e,r,v,i,n,g,s,valid
t,o,s,f,x,f,q,*,invalid
t,a,o,m,v,o,*,*,invalid
b,r,a,n,c,h,e,d,valid
s,k,e,u,l,f,w,*,invalid
m,p,b,i,s,m,*,*,invalid
k,n,d,x,a,*,*,*,invalid
j,x,r,u,f,*,*,*,invalid
g,k,w,j,x,*,*,*,invalid
k,i,r,u,n,p,*,*,invalid
y,q,y,i,w,*,*,*,invalid
c,t,u,l,x,c,g,*,invalid
b,o,o,*,*,*,*,*,invalid
l,y,r,i,n,*,*,*,invalid
t,k,n,l,d,p,m,*,invalid
o,b,v,d,k,n,c,*,invalid
f,s,i,g,*,*,*,*,invalid
f,o,g,b,o,u,n,d,valid
o,n,p,*,*,*,*,*,invalid
y,m,d,c,p,*,*,*,invalid
u,w,j,u,o,j,*,*,invalid
q,u,i,p,p,e,d,*,valid
q,r,q,h,x,t,*,*,invalid
k,e,m,*,*,*,*,*,invalid
f,o,o,t,i,n,g,*,valid
w,v,i,y,j,n,q,*,invalid
r,b,m,h,q,g,*,*,invalid
a,l,q,o,n,*,*,*,invalid
r,e,c,e,n,t,*,*,valid
y,h,e,*,*,*,*,*,invalid
r,m,c,d,h,p,*,*,invalid
r,a,n,r,g,r,p,*,invalid
y,d,r,e,m,v,*,*,invalid
e,u,s,m,*,*,*,*,invalid
l,o,m,t,*,*,*,*,invalid
s,h,e,p,h,e,r,d,valid
a,y,h,y,a,r,g,*,invalid
n,g,l,l,d,t,u,*,invalid
k,s,a,l,t,*,*,*,invalid
r,l,g,d,u,*,*,*,invalid
d,e,f,u,s,i,n,g,valid
c,i,d,r,l,a,*,*,invalid
c,b,y,v,p,*,*,*,invalid
a,g,q,t,w,p,n,*,invalid
u,u,m,n,*,*,*,*,invalid
o,p,g,c,h,o,k,*,invalid
c,f,k,*,*,*,*,*,invalid
c,c,x,i,*,*,*,*,invalid
p,e,t,r,i,f,y,*,valid
e,k,j,a,u,a,*,*,invalid
f,u,z,z,i,e,r,*,valid
e,f,f,j,r,*,*,*,invalid
s,e,r,i,o,u,s,*,valid
f,i,d,d,l,e,*,*,valid
b,r,u,s,k,l,y,*,valid
o,q,i,m,c,*,*,*,invalid
x,j,d,s,m,l,p,*,invalid
f,n,b,b,*,*,*,*,invalid
i,l,l,o,f,i,*,*,invalid
o,p,l,w,s,*,*,*,invalid
l,o,i,r,m,b,x,*,invalid
j,o,i,p,*,*,*,*,invalid
o,c,t,*,*,*,*,*,invalid
b,a,r,b,i,n,g,*,valid
a,b,r,i,d,g,e,*,valid
m,p,u,a,*,*,*,*,invalid
m,g,g,y,l,c,m,*,invalid
m,a,l,q,y,k,*,*,invalid
j,x,f,*,*,*,*,*,invalid
m,b,l,a,d,e,*,*,invalid
u,o,i,s,*,*,*,*,invalid
u,x,j,k,i,g,*,*,invalid
k,x,q,a,*,*,*,*,invalid
s,y,l,l,a,b,u,s,valid
k,j,a,k,m,d,e,*,invalid
l,e,d,*,*,*,*,*,invalid
x,m,u,f,i,n,q,*,invalid
m,d,u,b,p,x,*,*,invalid
t,v,s,m,p,*,*,*,invalid
s,c,x,c,d,*,*,*,invalid
u,w,b,e,m,s,*,*,invalid
i,n,n,o,c,e,n,t,valid
w,y,t,q,*,*,*,*,invalid
a,c,r,i,d,e,r,*,valid
l,u,j,y,d,t,f,*,invalid
g,q,j,s,o,v,*,*,invalid
f,a,x,k,*,*,*,*,invalid
i,w,c,i,m,o,*,*,invalid
f,e,u,d,s,*,*,*,valid
l,w,p,o,w,*,*,*,invalid
s,c,g,b,k,n,*,*,invalid
j,a,p,n,j,n,*,*,invalid
s,g,y,l,y,*,*,*,invalid
s,h,a,d,*,*,*,*,invalid
h,w,m,s,*,*,*,*,invalid
c,a,p,a,b,l,y,*,valid
c,s,f,*,*,*,*,*,invalid
r,p,a,e,o,i,o,*,invalid
f,y,h,s,x,l,*,*,invalid
j,x,p,*,*,*,*,*,invalid
r,i,f,f,s,*,*,*,valid
n,v,s,y,*,*,*,*,invalid
u,t,a,u,*,*,*,*,valid
c,e,r,*,*,*,*,*,invalid
g,u,z,z,l,e,s,*,valid
o,q,c,x,k,v,q,*,invalid
i,c,i,f,o,b,v,*,invalid
l,h,m,p,p,*,*,*,invalid
s,u,f,f,e,r,s,*,valid
i,y,o,n,*,*,*,*,invalid
u,n,b,*,*,*,*,*,invalid
l,m,b,*,*,*,*,*,invalid
u,r,b,a,n,e,*,*,valid
m,a,r,q,u,e,e,*,valid
f,e,a,s,t,*,*,*,valid
y,g,s,*,*,*,*,*,invalid
l,e,m,o,n,s,*,*,valid
p,e,d,d,l,e,r,*,valid
t,u,r,f,*,*,*,*,valid
b,i,s,o,n,s,*,*,valid
b,a,r,n,a,c,l,e,valid
v,s,w,i,*,*,*,*,invalid
s,e,n,a,t,e,s,*,valid
k,e,u,p,*,*,*,*,invalid
w,q,m,x,*,*,*,*,invalid
k,i,o,v,s,w,c,*,invalid
c,a,k,e,s,*,*,*,valid
v,e,n,o,m,*,*,*,valid
h,q,q,a,w,u,*,*,invalid
j,i,g,o,h,v,*,*,invalid
v,x,x,i,*,*,*,*,invalid
j,a,x,a,l,g,a,*,invalid
w,h,o,p,p,e,r,*,valid
b,u,s,*,*,*,*,*,invalid
e,i,b,w,e,*,*,*,invalid
g,l,w,r,b,*,*,*,invalid
i,k,p,*,*,*,*,*,invalid
d,o,w,e,l,s,*,*,valid
s,i,l,e,n,t,e,r,valid
r,u,s,e,s,*,*,*,valid
a,b,d,u,c,t,o,r,valid
o,c,e,l,o,t,s,*,valid
r,r,t,w,e,v,*,*,invalid
h,b,r,x,m,*,*,*,invalid
s,d,f,q,k,n,s,*,invalid
c,l,i,t,o,r,a,l,valid
b,l,a,c,k,e,n,*,valid
i,s,o,t,o,p,e,*,valid
m,m,y,t,w,*,*,*,invalid
u,d,w,h,o,e,*,*,invalid
n,a,r,r,o,w,l,y,valid
a,g,l,g,*,*,*,*,invalid
k,d,x,m,k,*,*,*,invalid
p,e,e,l,*,*,*,*,valid
p,a,c,k,a,g,e,d,valid
l,a,b,e,l,s,*,*,valid
d,d,a,*,*,*,*,*,invalid
f,o,c,*,*,*,*,*,invalid
o,l,w,n,a,e,*,*,invalid
i,d,v,*,*,*,*,*,invalid
a,h,k,k,s,l,*,*,invalid
r,e,g,a,l,i,n,g,valid
o,a,f,*,*,*,*,*,invalid
d,v,e,*,*,*,*,*,invalid
g,y,l,d,p,p,y,*,invalid
n,l,c,t,w,w,x,*,invalid
k,l,n,m,v,a,l,*,invalid
p,e,q,r,e,l,b,*,invalid
s,v,d,v,x,q,q,*,invalid
v,o,h,g,h,q,k,*,invalid
t,o,i,l,e,d,*,*,valid
v,e,g,e,t,a,t,e,valid
d,r,x,*,*,*,*,*,invalid
y,u,f,*,*,*,*,*,invalid
o,o,k,b,*,*,*,*,invalid
p,r,s,a,n,*,*,*,invalid
v,q,b,i,r,l,*,*,invalid
r,a,r,k,p,c,*,*,invalid
j,n,m,v,*,*,*,*,invalid
b,o,u,n,d,*,*,*,valid
w,l,y,f,*,*,*,*,invalid
a,l,m,*,*,*,*,*,invalid
f,a,s,t,*,*,*,*,valid
c,t,a,p,e,p,*,*,invalid
f,a,c,i,a,l,l,y,valid
v,o,g,u,e,*,*,*,valid
i,d,f,*,*,*,*,*,invalid
d,u,p,i,n,c,*,*,invalid
h,a,l,l,*,*,*,*,valid
l,o,a,n,e,r,s,*,valid
y,o,l,v,*,*,*,*,invalid
e,x,p,o,u,n,d,s,valid
o,b,l,q,d,*,*,*,invalid
o,p,d,t,o,h,p,*,invalid
v,e,j,a,a,i,g,*,invalid
b,e,w,a,i,l,e,d,valid
b,b,u,*,*,*,*,*,invalid
g,u,u,u,e,*,*,*,invalid
p,l,e,a,s,a,n,t,valid
a,n,o,r,e,x,i,a,valid
t,r,o,u,t,s,*,*,valid
c,h,o,p,*,*,*,*,valid
w,p,h,*,*,*,*,*,invalid
p,a,c,k,e,r,s,*,valid
c,n,o,o,h,*,*,*,invalid
m,w,q,a,a,y,b,*,invalid
f,p,m,y,*,*,*,*,invalid
f,r,v,*,*,*,*,*,invalid
m,n,i,l,c,k,*,*,invalid
r,w,j,a,*,*,*,*,invalid
r,t,d,v,*,*,*,*,invalid
u,n,u,s,u,a,l,*,valid
s,c,a,r,c,e,s,t,valid
s,o,l,i,d,i,f,y,valid
v,m,e,*,*,*,*,*,invalid
d,r,a,i,n,e,r,*,valid
a,f,v,t,m,l,*,*,invalid
r,l,k,*,*,*,*,*,invalid
p,p,q,p,o,*,*,*,invalid
s,m,j,b,*,*,*,*,invalid
e,y,x,w,*,*,*,*,invalid
c,o,u,r,s,e,d,*,valid
o,i,k,l,j,f,h,*,invalid
j,c,i,y,l,q,n,*,invalid
k,h,m,n,n,*,*,*,invalid
w,a,l,k,e,d,*,*,valid
x,y,q,u,n,*,*,*,invalid
r,d,e,c,f,*,*,*,invalid
l,f,k,o,y,s,n,*,invalid
y,q,u,q,a,d,r,*,invalid
d,o,p,y,*,*,*,*,valid
s,c,a,n,t,i,n,g,valid
p,a,t,t,e,r,e,d,valid
g,j,y,y,m,n,*,*,invalid
m,u,t,a,n,t,*,*,valid
p,o,l,y,m,e,r,*,valid
e,y,w,*,*,*,*,*,invalid
o,j,p,u,*,*,*,*,invalid
w,i,d,e,s,t,*,*,valid
d,v,n,c,n,t,*,*,invalid
