char01,char02,char03,char04,char05,char06,char07,char08,Valid
i,d,t,h,r,b,j, ,invalid
g,m,s,p,k,m, , ,invalid
r,i,v,e,t,e,d, ,valid
t,d,c,q,a,d,o, ,invalid
a,c,q,u,i,t,s, ,valid
o,m,g,q,s,x,g, ,invalid
m,a,s,o,n,i,c, ,valid
k,y,b,h,l,d, , ,invalid
b,h,d, , , , , ,invalid
q,p,h, , , , , ,invalid
r,g,i,s, , , , ,invalid
s,u,d,d,e,n, , ,valid
b,r,o,o,d, , , ,valid
e,a,v,e, , , , ,valid
l,a,p,s,i,n,g, ,valid
a,m,b,u,s,h, , ,valid
e,a,t,j,f,o, , ,invalid
a,a,d,e,n,o, , ,invalid
p,a,r,d,o,n,s, ,valid
u,y,x,v, , , , ,invalid
b,c,g,w,u, , , ,invalid
p,h,v,r,o,b, , ,invalid
j,i,c, , , , , ,invalid
a,k,i,n, , , , ,valid
m,x,a,v, , , , ,invalid
n,g,q, , , , , ,invalid
t,r,u,n,k, , , ,valid
m,i,r,r,o,r, , ,valid
u,n,b,e,a,t,e,n,valid
s,c,i, , , , , ,invalid
p,t,i,d, , , , ,invalid
w,g,u,h,j, , , ,invalid
c,a,u,c,u,s, , ,valid
c,r,e, , , , , ,invalid
g,j,t,a, , , , ,invalid
g,b,q,u, , , , ,invalid
p,w,d,h,r,g, , ,invalid
w,h,e,l,p, , , ,valid
a,g,n,s,n,l, , ,invalid
t,w,o,s,o,m,e,s,valid
f,l,u,n,k,s, , ,valid
u,w,s, , , , , ,invalid
v,h,p,u,x,k, , ,invalid
l,w,l,q, , , , ,invalid
l,l,x, , , , , ,invalid
e,x,b, , , , , ,invalid
m,i,y,o,m, , , ,invalid
y,u,g,r,v,f, , ,invalid
a,q,u,e,d,u,c,t,valid
k,p,g,j, , , , ,invalid
j,u,n,g,l,e, , ,valid
a,r,j,h,t,g,p, ,invalid
g,u,n,f,i,g,h,t,valid
l,a,y,o,u,t,s, ,valid
n,e,r,v,i,e,r, ,valid
a,i,g,p,b, , , ,invalid
a,n,a,c,o,n,d,a,valid
x,s,q, , , , , ,invalid
i,x,g,h, , , , ,invalid
v,q,q,n, , , , ,invalid
l,p,k,c,j,j, , ,invalid
e,o,y,p,x, , , ,invalid
p,v,v,o,w,o, , ,invalid
c,h,a,f,f,e,d, ,valid
x,y,q, , , , , ,invalid
p,l,g, , , , , ,invalid
w,i,z,z,e,s, , ,valid
l,g,y,e,p,u,w, ,invalid
v,p,s,j,y,x, , ,invalid
a,d,v,i,s,e,s, ,valid
p,u,y,w,l, , , ,invalid
n,f,a,i,l,b,n, ,invalid
p,l,a,n,g,e,n,t,valid
b,e,g,u,i,l,e,s,valid
j,c,p,i,o, , , ,invalid
x,h,e,x, , , , ,invalid
v,o,i, , , , , ,invalid
a,s,a,b,f,o,w, ,invalid
s,t,o,p,s, , , ,valid
s,m,a,c,k,e,d, ,valid
e,y,s,e,g,j, , ,invalid
d,g,c,c,y,y,x, ,invalid
o,a,r,i,n,g, , ,valid
e,a,y, , , , , ,invalid
y,j,q,t, , , , ,invalid
t,o,f,f,e,e, , ,valid
e,t,q,r, , , , ,invalid
p,q,w, , , , , ,invalid
d,i,b,f,s, , , ,invalid
b,m,w, , , , , ,invalid
d,a,d,t,t,x, , ,invalid
a,p,u,b, , , , ,invalid
w,i,g,g,e,d, , ,valid
y,y,d,x,q,j, , ,invalid
c,u,r,s,o,r,y, ,valid
p,y,c,a,s, , , ,invalid
w,y,j, , , , , ,invalid
v,h,v,a,u,p,v, ,invalid
p,r,i,g,s, , , ,valid
r,a,d,t,k,e, , ,invalid
x,f,v,i,r,h,h, ,invalid
r,o,i,q,p,x,p, ,invalid
o,v,p,m,k, , , ,invalid
h,e,l,p,l,e,s,s,valid
r,e,b,u,f,f,s, ,valid
v,h,m,b,s, , , ,invalid
c,a,t,i,o,n,s, ,valid
a,i,r,m,a,i,l,s,valid
w,e,j,a,t,y,c, ,invalid
k,y,m,l,k, , , ,invalid
h,i,x,i,q,g, , ,invalid
d,u,l,c,y,v, , ,invalid
q,e,s, , , , , ,invalid
w,i,d,e,l,y, , ,valid
c,d,s,o,x,e,e, ,invalid
l,j,j, , , , , ,invalid
e,f,v, , , , , ,invalid
c,q,y,d, , , , ,invalid
f,v,o,c, , , , ,invalid
p,n,n,o,j,o,t, ,invalid
h,a,r,a,s,s,e,s,valid
t,r,e,m,b,l,e, ,valid
r,p,r,k, , , , ,invalid
r,e,l,e,a,s,e, ,valid
v,a,p,o,r,o,u,s,valid
q,v,n,u, , , , ,invalid
o,c,e,a,n, , , ,valid
t,a,r,t,e,s,t, ,valid
p,m,m, , , , , ,invalid
f,r,e,j,e, , , ,invalid
l,n,r,l, , , , ,invalid
o,n,u,h,j,v,s, ,invalid
h,e,i,s,t,s, , ,valid
d,p,v,f,u, , , ,invalid
i,n,l,a,y,s, , ,valid
h,o,o,t,i,n,g, ,valid
h,h,l,v, , , , ,invalid
o,u,w,h,s, , , ,invalid
e,v,a,l,u,a,t,e,valid
l,o,w,x,l, , , ,invalid
b,w,g,q, , , , ,invalid
s,m,i,t, , , , ,valid
f,g,a, , , , , ,invalid
e,c,x,f, , , , ,invalid
t,i,d,e,s, , , ,valid
v,e,r,v,e, , , ,valid
q,k,b,a,a,g, , ,invalid
a,y,d,s,x, , , ,invalid
c,o,p,p,i,n,g, ,valid
f,e,a,s,t,i,n,g,valid
a,j,q,a,e,a,e, ,invalid
e,u,f,l,l, , , ,invalid
i,m,g,k, , , , ,invalid
y,n,q,n, , , , ,invalid
d,p,t,f,i, , , ,invalid
b,j,t,b,y,j, , ,invalid
k,e,v,r,k, , , ,invalid
p,o,i,n,t,e,r, ,valid
a,r,d,e,n,t, , ,valid
c,r,y,s,t,a,l,s,valid
t,i,d,i,l,y, , ,valid
x,p,t,p,v,a, , ,invalid
s,h,a,p,e,s, , ,valid
p,r,a,m, , , , ,valid
n,p,a,m, , , , ,invalid
x,f,d,f,a, , , ,invalid
q,u,a,s,a,r, , ,valid
x,c,g,w,d, , , ,invalid
p,l,i,a,n,t, , ,valid
r,j,t,u,l,g,h, ,invalid
p,p,o,l,v,d, , ,invalid
r,e,p,o,s,e,s, ,valid
d,i,a,l,y,z,e,s,valid
t,h,i,n,n,e,d, ,valid
n,a,i,b, , , , ,invalid
i,x,r,f,h,a,l, ,invalid
e,f,q,l,m, , , ,invalid
d,c,x,r, , , , ,invalid
c,l,e,w,i,n,g, ,valid
c,d,i,p, , , , ,invalid
j,l,l,e,q,s, , ,invalid
p,t,x,c,e,g,d, ,invalid
v,l,r, , , , , ,invalid
l,l,a,n,o,s, , ,valid
s,e,t,t,l,e,s, ,valid
a,n,b,e,p, , , ,invalid
q,t,q,v,s,d, , ,invalid
s,k,e,i,n,s, , ,valid
m,f,b,f,y,r, , ,invalid
n,i,n,e,s, , , ,valid
k,j,i,o,j, , , ,invalid
h,r,h,v, , , , ,invalid
s,q,k, , , , , ,invalid
q,w,k,d,x,x,e, ,invalid
u,l,t,r,a, , , ,valid
p,c,d, , , , , ,invalid
l,p,t,t,s,k,u, ,invalid
r,k,n, , , , , ,invalid
s,m,e,e,a,n,p, ,invalid
b,n,g,v, , , , ,invalid
y,h,o,m,j,s,l, ,invalid
x,b,v,l, , , , ,invalid
k,k,a,s,t,n,u, ,invalid
t,q,q,a, , , , ,invalid
h,o,m,y, , , , ,valid
b,u,t,t,e, , , ,valid
r,o,a,d,b,e,d,s,valid
m,p,r,s,h, , , ,invalid
k,m,x, , , , , ,invalid
m,m,m,l,e,d, , ,invalid
w,q,y,k,c,k,g, ,invalid
s,t,l,b,a,v,p, ,invalid
m,d,w,r,o, , , ,invalid
r,e,g,a,i,n,s, ,valid
v,t,n,i, , , , ,invalid
a,s,s,e,r,t,s, ,valid
q,u,e,n,c,h,e,s,valid
s,k,i,l,l,e,t, ,valid
f,p,g, , , , , ,invalid
s,k,d,q,y,i,j, ,invalid
m,y,t,h, , , , ,valid
t,j,o,v,w,p,y, ,invalid
d,i,r,x,s, , , ,invalid
m,y,y,b,c,l,h, ,invalid
y,b,o,e,t,k, , ,invalid
j,e,r,k,i,n, , ,valid
e,d,e,m,j, , , ,invalid
n,k,c,s, , , , ,invalid
v,i,v, , , , , ,invalid
h,u,b, , , , , ,invalid
r,j,k,h, , , , ,invalid
d,w,w, , , , , ,invalid
e,q,i,k,b,s,r, ,invalid
p,p,d,m,o,q,u, ,invalid
e,n,a,c,t, , , ,valid
w,a,r,r,e,d, , ,valid
p,l,e,d,g,e,s, ,valid
o,b,s,c,u,r,e,s,valid
c,h,o,i,c,e, , ,valid
e,v,r,l, , , , ,invalid
s,p,e,e,d,i,l,y,valid
u,q,k,g,q, , , ,invalid
p,u,r,v,e,y,o,r,valid
o,v,u,r,e,q, , ,invalid
a,f,h,b, , , , ,invalid
u,q,s,a,i,h,r, ,invalid
a,l,i,b,i,e,d, ,valid
x,t,q,y, , , , ,invalid
s,p,e,e,d,u,p,s,valid
c,l,a,w,s, , , ,valid
m,a,r,k,s,m,a,n,valid
b,l,e,n,d,s, , ,valid
d,r,o,o,l, , , ,valid
u,x,c,t,c,t, , ,invalid
c,o,b,r,a,s, , ,valid
g,l,i,s,t,e,n,s,valid
s,m,l,c, , , , ,invalid
k,l,e,c,x,o, , ,invalid
r,e,v,e,r,e,n,d,valid
r,e,t,a,i,n, , ,valid
m,i,s,r,u,l,e, ,valid
w,h,i,l,e,d, , ,valid
f,m,w,v,q, , , ,invalid
g,b,m, , , , , ,invalid
v,o,t,g,s,k,a, ,invalid
c,k,q,y, , , , ,invalid
f,r,a,n,k, , , ,valid
w,j,r,k,i,w, , ,invalid
k,e,c, , , , , ,invalid
q,f,q,m,k,r, , ,invalid
h,v,l,u,o,k,t, ,invalid
p,g,w, , , , , ,invalid
h,d,i,v,g,y, , ,invalid
c,m,u,j,m,m,w, ,invalid
x,l,u,k,g,b, , ,invalid
q,i,h,m,a, , , ,invalid
s,n,o,o,p,i,n,g,valid
v,t,i,t, , , , ,invalid
f,c,k,l,u,c,j, ,invalid
a,j,a,j,t,c, , ,invalid
c,r,u,s,a,d,e,s,valid
k,h,b,e,n, , , ,invalid
i,x,l,s,a,p, , ,invalid
j,n,a,k,c, , , ,invalid
e,u,j,v, , , , ,invalid
s,d,m,c,c,m,b, ,invalid
g,h,m,v,n,r, , ,invalid
v,i,b,r,a,n,c,y,valid
p,r,i,m,e,d, , ,valid
t,e,x,t,u,r,e,d,valid
t,x,f,p,t,f,e, ,invalid
k,f,x,x,y,f,x, ,invalid
r,p,s,b,j, , , ,invalid
m,o,d,i,f,i,e,d,valid
y,w,o,e,l,o, , ,invalid
b,e,y,i, , , , ,invalid
c,a,u,s,e,w,a,y,valid
s,t,a,t,u,r,e, ,valid
l,l,u, , , , , ,invalid
n,a,w,f,v,c,h, ,invalid
d,e,n,o,t,e,d, ,valid
f,o,r,k,l,i,f,t,valid
g,p,y,b,m,l,y, ,invalid
w,y,v,n,a,b, , ,invalid
t,e,n, , , , , ,valid
t,p,h, , , , , ,invalid
m,o,r,a,y,s, , ,valid
m,o,c,l, , , , ,invalid
r,e,v,e,r,e,n,t,valid
y,p,c,d, , , , ,invalid
y,a,t,g,n, , , ,invalid
s,p,b, , , , , ,invalid
u,m,o, , , , , ,invalid
v,e,h,i,c,l,e,s,valid
g,t,g,x, , , , ,invalid
t,x,d,s,x,s, , ,invalid
m,i,t,o,s,i,s, ,valid
k,n,i,g,h,t,e,d,valid
g,r,q,v,t,c,y, ,invalid
s,e,n,g,w,c, , ,invalid
s,v,o,o,g, , , ,invalid
s,d,x,b,m,u,c, ,invalid
x,m,c,h,u,l, , ,invalid
c,a,b,b,a,g,e, ,valid
j,c,n,l,l,b, , ,invalid
g,f,m,c, , , , ,invalid
u,j,n,w,o, , , ,invalid
a,m,h,d, , , , ,invalid
b,r,a,v,o,s, , ,valid
m,f,w,f, , , , ,invalid
f,q,a,l, , , , ,invalid
x,v,v,n,b,b,s, ,invalid
e,t,a,y, , , , ,invalid
q,k,a,p, , , , ,invalid
f,l,a,s,h,i,n,g,valid
l,o,p,e, , , , ,valid
u,q,x,g,i,b,b, ,invalid
m,n,w,g,s,v, , ,invalid
m,e,l,o,n,s, , ,valid
y,q,y, , , , , ,invalid
a,n,k,v,v,u, , ,invalid
m,e,i,b,r,t, , ,invalid
t,e,a,t, , , , ,valid
p,l,o,t,t,i,n,g,valid
p,o,s,t,p,o,n,e,valid
w,r,g,g,o,d, , ,invalid
a,s,s,e,t, , , ,valid
l,j,x,q,v,b,f, ,invalid
p,x,b, , , , , ,invalid
f,o,r,a,g,e,d, ,valid
n,h,l,g, , , , ,invalid
p,o,m,p,o,u,s, ,valid
c,m,b, , , , , ,invalid
u,r,u,e,b, , , ,invalid
m,w,d,u, , , , ,invalid
g,u,f,f,a,w, , ,valid
a,l,i,g,n,i,n,g,valid
w,v,q,b,b,m, , ,invalid
n,s,n,q,d,f,e, ,invalid
g,a,m,b,i,t,s, ,valid
a,j,y,l,d,u, , ,invalid
b,w,e, , , , , ,invalid
h,g,d,o,e,f,w, ,invalid
h,l,w,n,b, , , ,invalid
n,p,l,x, , , , ,invalid
k,k,e,h,r,c,g, ,invalid
y,h,t,a, , , , ,invalid
a,s,d,e,m,n,y, ,invalid
b,a,s,t,i,n,g, ,valid
y,f,p,n,y,c,o, ,invalid
a,b,s,e,n,c,e, ,valid
a,a,r, , , , , ,invalid
i,n,c,l,u,d,e,d,valid
u,g,h, , , , , ,invalid
b,g,n,f,n, , , ,invalid
w,g,h, , , , , ,invalid
k,e,t,b, , , , ,invalid
r,c,e,s, , , , ,invalid
m,a,r,a,c,a, , ,valid
n,l,i,i,t,b, , ,invalid
h,o,m,e,l,y, , ,valid
o,r,u,j, , , , ,invalid
y,e,j,c, , , , ,invalid
s,h,c,g,v,t,i, ,invalid
e,i,g,h,t,y, , ,valid
a,n,c,l,j,x, , ,invalid
d,k,p,w,y,r,m, ,invalid
f,g,i,k, , , , ,invalid
n,o,p,p, , , , ,invalid
r,v,s, , , , , ,invalid
k,s,m, , , , , ,invalid
c,o,u,l,d, , , ,valid
s,n,s,i,m, , , ,invalid
q,g,j,v,a, , , ,invalid
m,a,r,r,i,e,d,s,valid
o,r,f, , , , , ,invalid
b,d,i,t,i, , , ,invalid
e,m,r,x,v, , , ,invalid
v,b,n,b,c, , , ,invalid
j,o,u,h,o,u, , ,valid
v,a,c,u,u,m,e,d,valid
t,r,e,a,t,e,d, ,valid
e,y,d,o, , , , ,invalid
f,r,q,j,m,e,e, ,invalid
f,l,y,s,h,e,e,t,valid
b,l,u,s,t,e,r,y,valid
d,e,l,g,f,c,a, ,invalid
n,r,p,b,i,a, , ,invalid
o,e,s,t,n,t, , ,invalid
a,r,e,a,s, , , ,valid
d,e,c,i,m,a,t,e,valid
f,o,n,d,l,y, , ,valid
i,y,x,b, , , , ,invalid
r,o,s,i,e,s,t, ,valid
n,x,h,d,o, , , ,invalid
y,y,c,i,v, , , ,invalid
e,n,g,b,v,m, , ,invalid
c,a,s,e,w,o,r,k,valid
c,z,a,r,i,n,a, ,valid
d,u,f,f,e,r, , ,valid
s,c,r,i,p,s, , ,valid
u,a,g, , , , , ,invalid
g,i,g,g,l,i,n,g,valid
h,c,f, , , , , ,invalid
o,r,n,e,r,i,e,r,valid
k,s,k,l, , , , ,invalid
k,i,n,z,o,k,u, ,valid
w,p,s,e, , , , ,invalid
c,f,i,i,v, , , ,invalid
d,q,y,b,t,s,b, ,invalid
v,u,s,i,k,i, , ,invalid
t,h,f,w,n,j, , ,invalid
r,e,v,i,s,e,d, ,valid
m,c,n,r,i, , , ,invalid
v,t,c,d,d,f, , ,invalid
d,o,r,m,a,n,t, ,valid
t,r,a,p, , , , ,valid
k,m,r,b, , , , ,invalid
u,w,u, , , , , ,invalid
w,y,a,w,c, , , ,invalid
c,a,q, , , , , ,invalid
y,d,x,u,m,o, , ,invalid
j,d,q,a,a,q, , ,invalid
l,l,y, , , , , ,invalid
f,u,d,j, , , , ,invalid
c,a,v,i,t,i,e,s,valid
q,f,v,v,e,w, , ,invalid
w,b,t,h,g,c,k, ,invalid
u,d,k,e, , , , ,invalid
s,l,a, , , , , ,invalid
o,g,o,k,k,m,h, ,invalid
c,l,u,b,b,i,n,g,valid
g,l,e,a,m,e,d, ,valid
u,l,l,g, , , , ,invalid
h,e,a,l,e,r,s, ,valid
q,f,w,o,w,c,v, ,invalid
e,f,m, , , , , ,invalid
r,a,j,a, , , , ,valid
s,u,f,f,u,s,e,d,valid
b,r,i,a,r, , , ,valid
o,o,a, , , , , ,invalid
s,i,n,e, , , , ,valid
d,r,u,d,g,e,r,y,valid
c,u,t,l,e,t, , ,valid
g,v,j,f,b,s, , ,invalid
l,t,k,d,v,d,o, ,invalid
r,e,j,o,h,e, , ,invalid
c,y,m,g, , , , ,invalid
e,h,w,r, , , , ,invalid
a,d,x,s,m,m, , ,invalid
b,e,o,s,s, , , ,invalid
p,v,b,f,i,p,e, ,invalid
f,o,o,l,e,d, , ,valid
u,d,b,a,y,m,y, ,invalid
w,h,b,t,s, , , ,invalid
i,u,y, , , , , ,invalid
q,m,j,m, , , , ,invalid
n,k,p,n, , , , ,invalid
r,u,b,b,e,r, , ,valid
s,p,l,a,y,e,d, ,valid
v,i,n,t,n,e,r,s,valid
h,t,d,o,k, , , ,invalid
c,p,x,t,e,b, , ,invalid
c,o,w,a,r,d, , ,valid
a,n,g,l,e,r,s, ,valid
k,u,g, , , , , ,invalid
o,j,k,g,p,a, , ,invalid
c,o,n,d,o,l,e,d,valid
g,f,v,y,s, , , ,invalid
b,o,u,l,d,e,r, ,valid
r,e,s,t,a,t,e,s,valid
p,o,r,n,o, , , ,valid
s,q,u,a,t,s, , ,valid
m,i,x, , , , , ,invalid
e,n,q, , , , , ,invalid
b,e,s,t,e,d, , ,valid
t,m,k,c,h,q, , ,invalid
g,g,t,x,l, , , ,invalid
s,i,x,t,i,e,t,h,valid
a,d,h,e,r,e,s, ,valid
q,b,t, , , , , ,invalid
r,f,n,b, , , , ,invalid
y,d,b, , , , , ,invalid
m,t,m,q,r,h,q, ,invalid
a,m,b,i,a,n,c,e,valid
v,o,t,e, , , , ,valid
d,u,d, , , , , ,valid
c,f,k,b, , , , ,invalid
e,c,p,i,u,w, , ,invalid
l,o,s,h, , , , ,invalid
b,m,n,o,y, , , ,invalid
r,a,q,r,g,y,l, ,invalid
m,a,n,e,u,v,e,r,valid
j,b,w,n,r, , , ,invalid
n,n,q,u,c, , , ,invalid
g,a,d,g,e,t,r,y,valid
j,i,u,j,i,t,s,u,valid
b,l,o,o,d,e,d, ,valid
s,i,v,i,w,m,p, ,invalid
q,e,n,p,g, , , ,invalid
s,c,h,v,s,s,l, ,invalid
e,a,t,x, , , , ,invalid
u,u,c,m, , , , ,invalid
x,j,h, , , , , ,invalid
r,i,t,f,e, , , ,invalid
w,a,s, , , , , ,invalid
d,o,k,h,b,a, , ,invalid
c,o,l,o,n,i,s,t,valid
p,u,t,s,c,h,e,s,valid
s,i,x, , , , , ,valid
p,e,n,d,i,n,g, ,valid
k,w,u,y,b,p, , ,invalid
b,e,m,u,s,e,d, ,valid
t,w,x,j,b,y,m, ,invalid
l,e,t,t,e,r,s, ,valid
c,j,o, , , , , ,invalid
o,n,u,c,g,x, , ,invalid
i,s,f,p,l,o,k, ,invalid
k,r,n,c,m,o, , ,invalid
l,u,c,i,d,l,y, ,valid
v,m,y,k, , , , ,invalid
u,j,r,u, , , , ,invalid
y,e,t, , , , , ,valid
q,u,c,r,k, , , ,invalid
v,y,v,d,g,b, , ,invalid
g,i,d,d,y, , , ,valid
l,q,o,h, , , , ,invalid
h,b,c,r,l,n, , ,invalid
u,m,i,a,k,s, , ,valid
b,l,v,d, , , , ,invalid
i,b,s,c,m,n, , ,invalid
v,i,s,c,i,d, , ,valid
j,y,f,u,u,n,t, ,invalid
f,a,e,p, , , , ,invalid
h,o,b,b,y, , , ,valid
a,n,p,n,g,g, , ,invalid
g,h,t,n,v,q,j, ,invalid
j,j,h, , , , , ,invalid
t,a,r,o, , , , ,valid
a,i,x, , , , , ,invalid
o,w,g,o,y,h, , ,invalid
j,t,t,x,d,j, , ,invalid
b,l,e,a,t,s, , ,valid
x,u,h, , , , , ,invalid
j,l,u, , , , , ,invalid
u,m,a,t,n,t, , ,invalid
d,w,u, , , , , ,invalid
e,p,b, , , , , ,invalid
i,r,r,i,g,a,t,e,valid
e,w,u,v,r,y, , ,invalid
s,h,t,i,c,k, , ,valid
m,v,l,m,a,g,d, ,invalid
g,r,o,u,p,e,r, ,valid
e,s,c,a,p,e,e, ,valid
y,b,g,k,j,a, , ,invalid
u,a,w, , , , , ,invalid
y,c,k,j,j,c,n, ,invalid
f,i,n,i,n,g, , ,valid
q,v,s,o, , , , ,invalid
m,v,l,c,c,d, , ,invalid
a,g,a, , , , , ,invalid
h,h,a,k,r, , , ,invalid
m,j,u,a,o,c, , ,invalid
c,o,t,t,a,g,e,s,valid
t,w,y,w,p,h,t, ,invalid
s,o,k,x,w, , , ,invalid
t,r,e,e,t,o,p,s,valid
f,j,k,k,p,d, , ,invalid
s,x,r,x,e,d,d, ,invalid
b,a,l,l,a,d, , ,valid
x,u,w,x, , , , ,invalid
q,h,r,d,a,e,s, ,invalid
a,e,n, , , , , ,invalid
m,q,f,r,t,o,x, ,invalid
i,n,n,o,c,e,n,t,valid
m,o,g,w,e,o,d, ,invalid
s,h,e,k,e,l, , ,valid
g,b,g,m,h, , , ,invalid
g,l,a,c,i,a,l, ,valid
c,l,b,c,v,u, , ,invalid
v,e,m,x,g,m, , ,invalid
p,u,n,i,e,s,t, ,valid
x,r,q,q,n,w, , ,invalid
m,u,k,q, , , , ,invalid
g,u,r,a,m,u, , ,valid
d,b,v,v, , , , ,invalid
b,p,r,p, , , , ,invalid
o,n,u,g,o, , , ,invalid
l,d,f, , , , , ,invalid
w,b,q,b,e, , , ,invalid
n,i,v,w,p, , , ,invalid
u,r,i,n,q,w, , ,invalid
b,p,o, , , , , ,invalid
k,n,o,t,s, , , ,valid
c,o,n,d,u,c,e, ,valid
f,i,d,e,l,i,t,y,valid
x,y,c,x,a,g,x, ,invalid
h,e,l,o,t,s, , ,valid
l,j,a,y, , , , ,invalid
s,a,t,i,r,e, , ,valid
n,q,l,e,m, , , ,invalid
g,l,q,e,d, , , ,invalid
i,k,e,o,q,e,y, ,invalid
r,h,i,z,o,m,e,s,valid
b,s,l,c, , , , ,invalid
f,r,e,t,t,e,d, ,valid
u,n,p,b,p,a,u, ,invalid
b,e,t,t,o,r, , ,valid
q,c,k, , , , , ,invalid
s,t,u,d,s, , , ,valid
u,q,i,n,h, , , ,invalid
t,e,n,e,t, , , ,valid
m,h,y,b, , , , ,invalid
p,e,r,c,h, , , ,valid
s,s,a,i,l,l, , ,invalid
s,f,p,c,n,g, , ,invalid
h,g,q,r,k,y,g, ,invalid
e,j,e,f, , , , ,invalid
x,i,v,f, , , , ,invalid
b,o,u,l,d,e,r,s,valid
v,a,m,p,s, , , ,valid
e,s,p,i,e,d, , ,valid
u,s,b,i, , , , ,invalid
